Hash,Id,Offset,OwnerSid,GroupSid,Control,SaclAceCount,UniqueSaclAceTypes,DaclAceCount,UniqueDaclAceTypes,FileOffset,SourceFile
EAD07A46,2453,1602640,S-1-5-21-2232410529-1445159330-2725690660-1106,S-1-5-21-2232410529-1445159330-2725690660-513,SeDaclPresent|SeSelfRelative,0,,4,AccessAllowed,1864784,D:\dfirmadness\DESKTOP-E01\tout\H\$Secure_$SDS
53AA01C2,2454,1602880,S-1-5-21-2232410529-1445159330-2725690660-1106,S-1-5-21-2232410529-1445159330-2725690660-513,SeDaclPresent|SeSelfRelative,0,,4,AccessAllowed,1865024,D:\dfirmadness\DESKTOP-E01\tout\H\$Secure_$SDS
020206EC,2455,1603120,S-1-5-21-2232410529-1445159330-2725690660-1106,S-1-5-21-2232410529-1445159330-2725690660-513,SeDaclPresent|SeSelfRelative,0,,4,AccessAllowed,1865264,D:\dfirmadness\DESKTOP-E01\tout\H\$Secure_$SDS
CF43805B,2456,1603360,S-1-5-21-2232410529-1445159330-2725690660-1106,S-1-5-21-2232410529-1445159330-2725690660-513,SeDaclPresent|SeSelfRelative,0,,4,AccessAllowed,1865504,D:\dfirmadness\DESKTOP-E01\tout\H\$Secure_$SDS
B83E1803,2457,1603600,S-1-5-21-2232410529-1445159330-2725690660-1106,S-1-5-21-2232410529-1445159330-2725690660-513,SeDaclPresent|SeSelfRelative,0,,4,AccessAllowed,1865744,D:\dfirmadness\DESKTOP-E01\tout\H\$Secure_$SDS
6E67DE82,2458,1603840,S-1-5-21-2232410529-1445159330-2725690660-1106,S-1-5-21-2232410529-1445159330-2725690660-513,SeDaclPresent|SeSaclPresent|SeDaclAutoInherited|SeSelfRelative,1,SystemMandatoryLabel,4,AccessAllowed,1865984,D:\dfirmadness\DESKTOP-E01\tout\H\$Secure_$SDS
D8831FD3,2459,1604112,S-1-5-21-2232410529-1445159330-2725690660-1106,S-1-5-21-2232410529-1445159330-2725690660-513,SeDaclPresent|SeDaclAutoInherited|SeSelfRelative,0,,3,AccessAllowed,1866256,D:\dfirmadness\DESKTOP-E01\tout\H\$Secure_$SDS
388507D3,2460,1604304,S-1-5-21-2232410529-1445159330-2725690660-1106,S-1-5-21-2232410529-1445159330-2725690660-513,SeDaclPresent|SeDaclAutoInherited|SeSelfRelative,0,,3,AccessAllowed,1866448,D:\dfirmadness\DESKTOP-E01\tout\H\$Secure_$SDS
78CA16B0,2461,1604496,S-1-5-21-2232410529-1445159330-2725690660-1106,S-1-5-21-2232410529-1445159330-2725690660-513,SeDaclPresent|SeDaclAutoInherited|SeSelfRelative,0,,4,AccessAllowed,1866640,D:\dfirmadness\DESKTOP-E01\tout\H\$Secure_$SDS
8E4E41FD,2462,1604720,S-1-5-19,S-1-5-19,SeDaclPresent|SeDaclAutoInherited|SeSelfRelative,0,,8,AccessAllowed|AccessDenied,1866864,D:\dfirmadness\DESKTOP-E01\tout\H\$Secure_$SDS
3A1DC497,2463,1605024,S-1-5-19,S-1-5-19,SeDaclPresent|SeDaclProtected|SeSelfRelative,0,,2,AccessAllowed,1867168,D:\dfirmadness\DESKTOP-E01\tout\H\$Secure_$SDS
9DEB59B0,2464,1605168,S-1-5-18,S-1-5-18,SeDaclPresent|SeDaclProtected|SeSelfRelative,0,,3,AccessAllowed,1867312,D:\dfirmadness\DESKTOP-E01\tout\H\$Secure_$SDS
E2A8290E,2465,1605328,S-1-5-21-2232410529-1445159330-2725690660-1108,S-1-5-21-2232410529-1445159330-2725690660-513,SeDaclPresent|SeSelfRelative,0,,3,AccessAllowed,1867472,D:\dfirmadness\DESKTOP-E01\tout\H\$Secure_$SDS
E2CC283E,2466,1605520,S-1-5-21-2232410529-1445159330-2725690660-1108,S-1-5-21-2232410529-1445159330-2725690660-513,SeDaclPresent|SeSelfRelative,0,,3,AccessAllowed,1867664,D:\dfirmadness\DESKTOP-E01\tout\H\$Secure_$SDS
E2FC303E,2467,1605712,S-1-5-21-2232410529-1445159330-2725690660-1108,S-1-5-21-2232410529-1445159330-2725690660-513,SeDaclPresent|SeSaclPresent|SeSaclAutoInherited|SeSelfRelative,108,,3,AccessAllowed,1867856,D:\dfirmadness\DESKTOP-E01\tout\H\$Secure_$SDS
6DEB35A1,2468,1605904,S-1-5-18,S-1-5-18,SeDaclPresent|SeSelfRelative,0,,3,AccessAllowed,1868048,D:\dfirmadness\DESKTOP-E01\tout\H\$Secure_$SDS
9DEB59A0,2469,1606064,S-1-5-18,S-1-5-18,SeDaclPresent|SeSelfRelative,0,,3,AccessAllowed,1868208,D:\dfirmadness\DESKTOP-E01\tout\H\$Secure_$SDS
8158D75D,2470,1606224,S-1-5-18,S-1-5-18,SeDaclPresent|SeDaclAutoInherited|SeSelfRelative,0,,4,AccessDenied|AccessAllowed,1868368,D:\dfirmadness\DESKTOP-E01\tout\H\$Secure_$SDS
AA91EEF5,2471,1606400,S-1-5-18,S-1-5-18,SeDaclPresent|SeSaclPresent|SeSaclAutoInherited|SeSelfRelative,1,SystemMandatoryLabel,3,AccessAllowed,1868544,D:\dfirmadness\DESKTOP-E01\tout\H\$Secure_$SDS
6DBB359B,2472,1606592,S-1-5-18,S-1-5-18,SeDaclPresent|SeSelfRelative,0,,3,AccessAllowed,1868736,D:\dfirmadness\DESKTOP-E01\tout\H\$Secure_$SDS
8B04BAC9,2473,1606752,S-1-5-21-2232410529-1445159330-2725690660-1108,S-1-5-21-2232410529-1445159330-2725690660-513,SeDaclPresent|SeDaclAutoInherited|SeSelfRelative,0,,7,AccessAllowed,1868896,D:\dfirmadness\DESKTOP-E01\tout\H\$Secure_$SDS
499A3DC9,2474,1607152,S-1-5-21-2232410529-1445159330-2725690660-1108,S-1-5-21-2232410529-1445159330-2725690660-513,SeDaclPresent|SeSelfRelative,0,,6,AccessAllowed,1869296,D:\dfirmadness\DESKTOP-E01\tout\H\$Secure_$SDS
93DE5C30,2475,1607456,S-1-5-21-2232410529-1445159330-2725690660-1108,S-1-5-21-2232410529-1445159330-2725690660-513,SeDaclPresent|SeDaclAutoInherited|SeSelfRelative,0,,6,AccessAllowed,1869600,D:\dfirmadness\DESKTOP-E01\tout\H\$Secure_$SDS
DA8EB678,2476,1607776,S-1-5-21-2232410529-1445159330-2725690660-1108,S-1-5-21-2232410529-1445159330-2725690660-513,SeDaclPresent|SeDaclAutoInherited|SeSelfRelative,0,,4,AccessAllowed,1869920,D:\dfirmadness\DESKTOP-E01\tout\H\$Secure_$SDS
DA8E3778,2477,1608016,S-1-5-21-2232410529-1445159330-2725690660-1108,S-1-5-21-2232410529-1445159330-2725690660-513,SeDaclPresent|SeSaclPresent|SeDaclAutoInherited|SeSaclAutoInherited|SeSelfRelative,156,,4,AccessAllowed,1870160,D:\dfirmadness\DESKTOP-E01\tout\H\$Secure_$SDS
3A66261C,2478,1608256,S-1-5-21-2232410529-1445159330-2725690660-1108,S-1-5-21-2232410529-1445159330-2725690660-513,SeDaclPresent|SeSaclPresent|SeDaclAutoInherited|SeSaclAutoInherited|SeSelfRelative,1,SystemMandatoryLabel,4,AccessAllowed,1870400,D:\dfirmadness\DESKTOP-E01\tout\H\$Secure_$SDS
3A192F1C,2479,1608528,S-1-5-21-2232410529-1445159330-2725690660-1108,S-1-5-21-2232410529-1445159330-2725690660-513,SeDaclPresent|SeSaclPresent|SeDaclAutoInherited|SeSaclAutoInherited|SeSelfRelative,1,SystemMandatoryLabel,4,AccessAllowed,1870672,D:\dfirmadness\DESKTOP-E01\tout\H\$Secure_$SDS
E75DB859,2480,1608800,S-1-5-21-2232410529-1445159330-2725690660-1108,S-1-5-21-2232410529-1445159330-2725690660-513,SeDaclPresent|SeDaclAutoInherited|SeSelfRelative,0,,6,AccessAllowed,1870944,D:\dfirmadness\DESKTOP-E01\tout\H\$Secure_$SDS
E129CA9B,2481,1609120,S-1-5-21-2232410529-1445159330-2725690660-1108,S-1-5-21-2232410529-1445159330-2725690660-513,SeDaclPresent|SeDaclAutoInherited|SeSelfRelative,0,,4,AccessAllowed,1871264,D:\dfirmadness\DESKTOP-E01\tout\H\$Secure_$SDS
E129479B,2482,1609360,S-1-5-21-2232410529-1445159330-2725690660-1108,S-1-5-21-2232410529-1445159330-2725690660-513,SeDaclPresent|SeSaclPresent|SeDaclAutoInherited|SeSaclAutoInherited|SeSelfRelative,156,,4,AccessAllowed,1871504,D:\dfirmadness\DESKTOP-E01\tout\H\$Secure_$SDS
41B538B6,2483,1609600,S-1-5-21-2232410529-1445159330-2725690660-1108,S-1-5-21-2232410529-1445159330-2725690660-513,SeDaclPresent|SeSaclPresent|SeDaclAutoInherited|SeSaclAutoInherited|SeSelfRelative,1,SystemMandatoryLabel,4,AccessAllowed,1871744,D:\dfirmadness\DESKTOP-E01\tout\H\$Secure_$SDS
41B660B6,2484,1609872,S-1-5-21-2232410529-1445159330-2725690660-1108,S-1-5-21-2232410529-1445159330-2725690660-513,SeDaclPresent|SeSaclPresent|SeDaclAutoInherited|SeSaclAutoInherited|SeSelfRelative,1,SystemMandatoryLabel,4,AccessAllowed,1872016,D:\dfirmadness\DESKTOP-E01\tout\H\$Secure_$SDS
66FEB3D5,2485,1610144,S-1-5-21-2232410529-1445159330-2725690660-1108,S-1-5-21-2232410529-1445159330-2725690660-513,SeDaclPresent|SeSelfRelative,0,,4,AccessAllowed,1872288,D:\dfirmadness\DESKTOP-E01\tout\H\$Secure_$SDS
B9D6C0A2,2486,1610352,S-1-5-21-2232410529-1445159330-2725690660-1108,S-1-5-21-2232410529-1445159330-2725690660-513,SeDaclPresent|SeDaclAutoInherited|SeSelfRelative,0,,6,AccessAllowed,1872496,D:\dfirmadness\DESKTOP-E01\tout\H\$Secure_$SDS
26CB8252,2487,1610672,S-1-5-21-2232410529-1445159330-2725690660-1108,S-1-5-21-2232410529-1445159330-2725690660-513,SeDaclPresent|SeDaclAutoInherited|SeSelfRelative,0,,4,AccessAllowed,1872816,D:\dfirmadness\DESKTOP-E01\tout\H\$Secure_$SDS
26CBD589,2488,1610912,S-1-5-21-2232410529-1445159330-2725690660-1108,S-1-5-21-2232410529-1445159330-2725690660-513,SeDaclPresent|SeSaclPresent|SeDaclAutoInherited|SeSaclAutoInherited|SeSelfRelative,156,,4,AccessAllowed,1873056,D:\dfirmadness\DESKTOP-E01\tout\H\$Secure_$SDS
