ID,ParentFolder,Filename,ModifiedTime,ACLRole,Type,SizeInBytes,Checksum,SharedStatus,RemovedStatus,SourceFile
1ZI6L2SN4K9tB1MKiL8urM583ORa-tOZM,Larry King_ Time to Repeal the 'Poorly Written' Second Amendment_files,quant.js.download,2018-03-30 04:29:48,Google Drive Owner,Regular File,11050,8af1d7b9324ab1da1e3c35eb5a2b195d,Not Shared,No,C:\temp\2024LoneWolf\tout\D\Users\jcloudy\AppData\Local\Google\Drive\user_default\snapshot.db
1HCvbjK_LRf91v1To--12nVH4tJy4GCvc,Larry King_ Time to Repeal the 'Poorly Written' Second Amendment_files,beacon.js.download,2018-03-30 04:29:48,Google Drive Owner,Regular File,1495,c4968e93227e4e9e7ac8f4e2a3c83c76,Not Shared,No,C:\temp\2024LoneWolf\tout\D\Users\jcloudy\AppData\Local\Google\Drive\user_default\snapshot.db
1Loez9lFRQraXf_ksiO5Cc284OtE_jJIC,Larry King_ Time to Repeal the 'Poorly Written' Second Amendment_files,js,2018-03-30 04:29:48,Google Drive Owner,Regular File,59862,b11b335ca23bb325b7ec152d896bab3b,Not Shared,No,C:\temp\2024LoneWolf\tout\D\Users\jcloudy\AppData\Local\Google\Drive\user_default\snapshot.db
18yCaGJvxS1TmAYyvbOwUcy9nN2Zz94m4,Larry King_ Time to Repeal the 'Poorly Written' Second Amendment_files,pubads_impl_rendering_191.js.download,2018-03-30 04:29:48,Google Drive Owner,Regular File,41978,e8962ca09dbcdb34bb5e83bc01591745,Not Shared,No,C:\temp\2024LoneWolf\tout\D\Users\jcloudy\AppData\Local\Google\Drive\user_default\snapshot.db
1XYPN0BRW4oKr3z48phZXO3FEIQjuQomL,Larry King_ Time to Repeal the 'Poorly Written' Second Amendment_files,css,2018-03-30 04:29:48,Google Drive Owner,Regular File,798,3d0666674b73c597f726dd8f822f9fa9,Not Shared,No,C:\temp\2024LoneWolf\tout\D\Users\jcloudy\AppData\Local\Google\Drive\user_default\snapshot.db
1XUHSKYj5okwwwC-dn3qYQUMHTw9_6PAS,Larry King_ Time to Repeal the 'Poorly Written' Second Amendment_files,fbadnw55.js.download,2018-03-30 04:29:48,Google Drive Owner,Regular File,121804,90bbccce7074d6d3ee5d4e5af77e0a6a,Not Shared,No,C:\temp\2024LoneWolf\tout\D\Users\jcloudy\AppData\Local\Google\Drive\user_default\snapshot.db
1Cn3RpWprYvlTd04h-czyHbOW7ML0SuSV,Larry King_ Time to Repeal the 'Poorly Written' Second Amendment_files,widgets.js.download,2018-03-30 04:29:48,Google Drive Owner,Regular File,125488,a786499e7d174894a551f3f3e7075999,Not Shared,No,C:\temp\2024LoneWolf\tout\D\Users\jcloudy\AppData\Local\Google\Drive\user_default\snapshot.db
1ujr5-7gFdj57mc06qp-TCr7rYcVihQ5T,Larry King_ Time to Repeal the 'Poorly Written' Second Amendment_files,fancybox-0.css,2018-03-30 04:29:49,Google Drive Owner,Regular File,10127,2648d0db3297f68bed480a18e44a5e1d,Not Shared,No,C:\temp\2024LoneWolf\tout\D\Users\jcloudy\AppData\Local\Google\Drive\user_default\snapshot.db
1SZYUtb-byysp_Diivwj5yo7NKnP_pnB1,Larry King_ Time to Repeal the 'Poorly Written' Second Amendment_files,count-data.js.download,2018-03-30 04:29:49,Google Drive Owner,Regular File,513,93bc9809d21c3b1023b911be9baa5c0d,Not Shared,No,C:\temp\2024LoneWolf\tout\D\Users\jcloudy\AppData\Local\Google\Drive\user_default\snapshot.db
1qHYdSFEA9gq-jvijUFKRe4cU2pUaPSBq,Larry King_ Time to Repeal the 'Poorly Written' Second Amendment_files,LarryKingband1-640x480.jpg,2018-03-30 04:29:49,Google Drive Owner,Regular File,45390,9f601f647b9dc914943010b35081bf1e,Not Shared,No,C:\temp\2024LoneWolf\tout\D\Users\jcloudy\AppData\Local\Google\Drive\user_default\snapshot.db
