Id,Timestamp,ExeInfo,ExeInfoDescription,ExeTimestamp,SidType,Sid,UserName,UserId,AppId,ConnectedTime,ConnectStartTime,InterfaceLuid,InterfaceType,L2ProfileFlags,L2ProfileId,ProfileName
74,2018-03-29 04:52:00,,,,UnknownOrUserSid,,,2,1,105737,2018-03-27 23:29:42.4985515,36873771772018688,IF_TYPE_TUNNEL,0,0,
75,2018-03-29 05:53:00,,,,UnknownOrUserSid,,,2,1,109401,2018-03-27 23:29:38.8765515,19985273102270464,IF_TYPE_IEEE80211,0,268435457,Net 2.4
76,2018-03-29 05:53:00,,,,UnknownOrUserSid,,,2,1,109397,2018-03-27 23:29:42.4985515,36873771772018688,IF_TYPE_TUNNEL,0,0,
77,2018-03-29 06:54:00,,,,UnknownOrUserSid,,,2,1,113061,2018-03-27 23:29:38.8765515,19985273102270464,IF_TYPE_IEEE80211,0,268435457,Net 2.4
78,2018-03-29 06:54:00,,,,UnknownOrUserSid,,,2,1,113057,2018-03-27 23:29:42.4985515,36873771772018688,IF_TYPE_TUNNEL,0,0,
79,2018-03-29 07:55:00,,,,UnknownOrUserSid,,,2,1,116721,2018-03-27 23:29:38.8765515,19985273102270464,IF_TYPE_IEEE80211,0,268435457,Net 2.4
80,2018-03-29 07:55:00,,,,UnknownOrUserSid,,,2,1,116717,2018-03-27 23:29:42.4985515,36873771772018688,IF_TYPE_TUNNEL,0,0,
81,2018-03-29 08:56:00,,,,UnknownOrUserSid,,,2,1,120381,2018-03-27 23:29:38.8765515,19985273102270464,IF_TYPE_IEEE80211,0,268435457,Net 2.4
82,2018-03-29 08:56:00,,,,UnknownOrUserSid,,,2,1,120377,2018-03-27 23:29:42.4985515,36873771772018688,IF_TYPE_TUNNEL,0,0,
83,2018-03-29 09:57:00,,,,UnknownOrUserSid,,,2,1,124041,2018-03-27 23:29:38.8765515,19985273102270464,IF_TYPE_IEEE80211,0,268435457,Net 2.4
84,2018-03-29 09:57:00,,,,UnknownOrUserSid,,,2,1,124037,2018-03-27 23:29:42.4985515,36873771772018688,IF_TYPE_TUNNEL,0,0,
85,2018-03-29 10:58:00,,,,UnknownOrUserSid,,,2,1,127701,2018-03-27 23:29:38.8765515,19985273102270464,IF_TYPE_IEEE80211,0,268435457,Net 2.4
86,2018-03-29 10:58:00,,,,UnknownOrUserSid,,,2,1,127697,2018-03-27 23:29:42.4985515,36873771772018688,IF_TYPE_TUNNEL,0,0,
87,2018-03-29 11:58:00,,,,UnknownOrUserSid,,,2,1,131301,2018-03-27 23:29:38.8765515,19985273102270464,IF_TYPE_IEEE80211,0,268435457,Net 2.4
88,2018-03-29 11:58:00,,,,UnknownOrUserSid,,,2,1,131297,2018-03-27 23:29:42.4985515,36873771772018688,IF_TYPE_TUNNEL,0,0,
89,2018-03-29 12:59:00,,,,UnknownOrUserSid,,,2,1,134961,2018-03-27 23:29:38.8765515,19985273102270464,IF_TYPE_IEEE80211,0,268435457,Net 2.4
90,2018-03-29 12:59:00,,,,UnknownOrUserSid,,,2,1,134957,2018-03-27 23:29:42.4985515,36873771772018688,IF_TYPE_TUNNEL,0,0,
91,2018-03-29 14:00:00,,,,UnknownOrUserSid,,,2,1,138621,2018-03-27 23:29:38.8765515,19985273102270464,IF_TYPE_IEEE80211,0,268435457,Net 2.4
92,2018-03-29 14:00:00,,,,UnknownOrUserSid,,,2,1,138617,2018-03-27 23:29:42.4985515,36873771772018688,IF_TYPE_TUNNEL,0,0,
93,2018-03-29 15:00:00,,,,UnknownOrUserSid,,,2,1,142221,2018-03-27 23:29:38.8765515,19985273102270464,IF_TYPE_IEEE80211,0,268435457,Net 2.4
94,2018-03-29 15:00:00,,,,UnknownOrUserSid,,,2,1,142217,2018-03-27 23:29:42.4985515,36873771772018688,IF_TYPE_TUNNEL,0,0,
95,2018-03-29 16:00:00,,,,UnknownOrUserSid,,,2,1,145821,2018-03-27 23:29:38.8765515,19985273102270464,IF_TYPE_IEEE80211,0,268435457,Net 2.4
96,2018-03-29 16:00:00,,,,UnknownOrUserSid,,,2,1,145817,2018-03-27 23:29:42.4985515,36873771772018688,IF_TYPE_TUNNEL,0,0,
97,2018-03-29 17:00:00,,,,UnknownOrUserSid,,,2,1,149421,2018-03-27 23:29:38.8765515,19985273102270464,IF_TYPE_IEEE80211,0,268435457,Net 2.4
