Hash,Id,Offset,OwnerSid,GroupSid,Control,SaclAceCount,UniqueSaclAceTypes,DaclAceCount,UniqueDaclAceTypes,FileOffset,SourceFile
629D9BB6,885,231936,S-1-5-18,S-1-5-18,SeDaclPresent|SeSaclPresent|SeDaclAutoInherited|SeSaclAutoInherited|SeSelfRelative,0,,9,AccessAllowedCallback|AccessAllowed,231936,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
76E6F10A,886,232432,S-1-5-18,S-1-5-18,SeDaclPresent|SeDaclAutoInherited|SeSaclAutoInherited|SeSelfRelative,0,,5,AccessAllowedCallback|AccessAllowed,232432,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
76E6E90A,887,232800,S-1-5-18,S-1-5-18,SeDaclPresent|SeSaclAutoInherited|SeSelfRelative,0,,5,AccessAllowedCallback|AccessAllowed,232800,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
284381C6,888,233168,S-1-5-18,S-1-5-18,SeDaclPresent|SeSaclPresent|SeDaclAutoInherited|SeSaclAutoInherited|SeSelfRelative,0,,9,AccessAllowedCallback|AccessAllowed,233168,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
8F4C736E,889,233664,S-1-5-18,S-1-5-18,SeDaclPresent|SeDaclAutoInherited|SeSaclAutoInherited|SeSelfRelative,0,,5,AccessAllowedCallback|AccessAllowed,233664,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
8F4C6B6E,890,234032,S-1-5-18,S-1-5-18,SeDaclPresent|SeSaclAutoInherited|SeSelfRelative,0,,5,AccessAllowedCallback|AccessAllowed,234032,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
C1CA0493,891,234400,S-1-5-18,S-1-5-18,SeDaclPresent|SeSaclPresent|SeDaclAutoInherited|SeSaclAutoInherited|SeSelfRelative,0,,9,AccessAllowedCallback|AccessAllowed,234400,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
564B9FFD,892,234896,S-1-5-18,S-1-5-18,SeDaclPresent|SeDaclAutoInherited|SeSaclAutoInherited|SeSelfRelative,0,,5,AccessAllowedCallback|AccessAllowed,234896,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
564B97FD,893,235264,S-1-5-18,S-1-5-18,SeDaclPresent|SeSaclAutoInherited|SeSelfRelative,0,,5,AccessAllowedCallback|AccessAllowed,235264,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
485EC5B9,894,235632,S-1-5-18,S-1-5-18,SeDaclPresent|SeSaclPresent|SeDaclAutoInherited|SeSaclAutoInherited|SeSelfRelative,0,,9,AccessAllowedCallback|AccessAllowed,235632,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
C5851A19,895,236064,S-1-5-18,S-1-5-18,SeDaclPresent|SeDaclAutoInherited|SeSaclAutoInherited|SeSelfRelative,0,,5,AccessAllowedCallback|AccessAllowed,236064,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
