Id,Platform,Name,AdditionalInformation,Expires
163436d2-c732-d218-490a-5bedda9ea171,windows_universal,microsoft.microsoftedge_8wekyb3d8bbwe,,2020-10-18 23:04:40
163436d2-c732-d218-490a-5bedda9ea171,host,edge.activity.windows.com,,2020-10-18 23:04:40
163436d2-c732-d218-490a-5bedda9ea171,packageid,microsoft.microsoftedge_8wekyb3d8bbwe!microsoftedge,,2020-10-18 23:04:40
d88f60cd-2da2-c5e2-1b12-639cf129aea1,windows_universal,microsoft.microsoftedge_8wekyb3d8bbwe,,2020-10-18 23:04:42
d88f60cd-2da2-c5e2-1b12-639cf129aea1,host,edge.activity.windows.com,,2020-10-18 23:04:42
d88f60cd-2da2-c5e2-1b12-639cf129aea1,packageid,microsoft.microsoftedge_8wekyb3d8bbwe!microsoftedge,,2020-10-18 23:04:42
f6d82d6b-34ca-f59c-8abc-f76f0b1eed87,windows_universal,microsoft.microsoftedge_8wekyb3d8bbwe,,2020-10-18 23:04:52
f6d82d6b-34ca-f59c-8abc-f76f0b1eed87,host,edge.activity.windows.com,,2020-10-18 23:04:52
f6d82d6b-34ca-f59c-8abc-f76f0b1eed87,packageid,microsoft.microsoftedge_8wekyb3d8bbwe!microsoftedge,,2020-10-18 23:04:52
4ec4aef0-2a9c-b54b-4832-fe8505dd94d8,windows_universal,microsoft.microsoftedge_8wekyb3d8bbwe,,2020-10-18 23:04:53
4ec4aef0-2a9c-b54b-4832-fe8505dd94d8,host,edge.activity.windows.com,,2020-10-18 23:04:53
732da4d6-71e8-c7b4-ae1e-20ec115b3b08,windows_universal,microsoft.microsoftedge_8wekyb3d8bbwe,,2020-10-18 23:05:00
732da4d6-71e8-c7b4-ae1e-20ec115b3b08,host,edge.activity.windows.com,,2020-10-18 23:05:00
732da4d6-71e8-c7b4-ae1e-20ec115b3b08,packageid,microsoft.microsoftedge_8wekyb3d8bbwe!microsoftedge,,2020-10-18 23:05:00
f4e6e862-6a4d-3b29-eace-de0ee975fecf,windows_universal,microsoft.microsoftedge_8wekyb3d8bbwe,,2020-10-18 23:07:55
f4e6e862-6a4d-3b29-eace-de0ee975fecf,host,edge.activity.windows.com,,2020-10-18 23:07:55
e0bf262d-d94e-e1a3-aeb4-e8c5e82f8813,windows_universal,microsoft.microsoftedge_8wekyb3d8bbwe,,2020-10-18 23:07:36
e0bf262d-d94e-e1a3-aeb4-e8c5e82f8813,host,edge.activity.windows.com,,2020-10-18 23:07:36
e0bf262d-d94e-e1a3-aeb4-e8c5e82f8813,packageid,microsoft.microsoftedge_8wekyb3d8bbwe!microsoftedge,,2020-10-18 23:07:36
7ed49dc4-de2c-70ad-56a4-8102397c4eef,windows_universal,microsoft.microsoftedge_8wekyb3d8bbwe,,2020-10-18 23:07:37
7ed49dc4-de2c-70ad-56a4-8102397c4eef,host,edge.activity.windows.com,,2020-10-18 23:07:37
545e17c0-0caa-d4f0-cb6f-2183eb923114,windows_universal,microsoft.microsoftedge_8wekyb3d8bbwe,,2020-10-18 23:07:55
545e17c0-0caa-d4f0-cb6f-2183eb923114,host,edge.activity.windows.com,,2020-10-18 23:07:55
545e17c0-0caa-d4f0-cb6f-2183eb923114,packageid,microsoft.microsoftedge_8wekyb3d8bbwe!microsoftedge,,2020-10-18 23:07:55
49349590-753a-34e3-82e9-8b0c3e5a5a91,windows_universal,microsoft.microsoftedge_8wekyb3d8bbwe,,2020-10-18 23:08:06
49349590-753a-34e3-82e9-8b0c3e5a5a91,host,edge.activity.windows.com,,2020-10-18 23:08:06
49349590-753a-34e3-82e9-8b0c3e5a5a91,packageid,microsoft.microsoftedge_8wekyb3d8bbwe!microsoftedge,,2020-10-18 23:08:06
be7a6230-96a6-361a-a087-46502e074535,windows_universal,microsoft.microsoftedge_8wekyb3d8bbwe,,2020-10-18 23:08:15
be7a6230-96a6-361a-a087-46502e074535,host,edge.activity.windows.com,,2020-10-18 23:08:15
be7a6230-96a6-361a-a087-46502e074535,packageid,microsoft.microsoftedge_8wekyb3d8bbwe!microsoftedge,,2020-10-18 23:08:15
a8625512-06c1-7129-3d26-8f7a3e2d59eb,windows_universal,microsoft.microsoftedge_8wekyb3d8bbwe,,2020-10-18 23:08:17
a8625512-06c1-7129-3d26-8f7a3e2d59eb,host,edge.activity.windows.com,,2020-10-18 23:08:17
62057853-002e-8d31-cc04-8b340fa62533,windows_universal,microsoft.microsoftedge_8wekyb3d8bbwe,,2020-10-18 23:08:26
62057853-002e-8d31-cc04-8b340fa62533,host,edge.activity.windows.com,,2020-10-18 23:08:26
62057853-002e-8d31-cc04-8b340fa62533,packageid,microsoft.microsoftedge_8wekyb3d8bbwe!microsoftedge,,2020-10-18 23:08:26
0649001b-d503-81ea-cc83-757dbcbde7d3,windows_universal,microsoft.microsoftedge_8wekyb3d8bbwe,,2020-10-18 23:08:35
0649001b-d503-81ea-cc83-757dbcbde7d3,host,edge.activity.windows.com,,2020-10-18 23:08:35
0649001b-d503-81ea-cc83-757dbcbde7d3,packageid,microsoft.microsoftedge_8wekyb3d8bbwe!microsoftedge,,2020-10-18 23:08:35
724cce6a-7857-8dae-09b9-8a553a634ae3,windows_universal,microsoft.microsoftedge_8wekyb3d8bbwe,,2020-10-18 23:08:36
724cce6a-7857-8dae-09b9-8a553a634ae3,host,edge.activity.windows.com,,2020-10-18 23:08:36
454a671f-cb86-4f6d-8a9a-c05ca8f8af83,windows_universal,microsoft.microsoftedge_8wekyb3d8bbwe,,2020-10-18 23:09:46
454a671f-cb86-4f6d-8a9a-c05ca8f8af83,host,edge.activity.windows.com,,2020-10-18 23:09:46
454a671f-cb86-4f6d-8a9a-c05ca8f8af83,packageid,microsoft.microsoftedge_8wekyb3d8bbwe!microsoftedge,,2020-10-18 23:09:46
