Timestamp,BatchKeyPath,DisplayName,BatchValueName,PackageName,InstallDate,Publisher,Language,InstallLocation,InstallSource,Comments
2016-06-20 23:56:48.0578420,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\00005109090090400100000000F01FEC,Microsoft DCF MUI (English) 2013,Multiple,15.0.4569.1506,20160620,Microsoft Corporation,1033,C:\Program Files\Microsoft Office\,C:\MSOCache\All Users\{90150000-0090-0409-1000-0000000FF1CE}-C\,
2016-06-20 23:59:55.5074379,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\00005109110000000100000000F01FEC,Microsoft Office Professional Plus 2013,Multiple,15.0.4569.1506,20160620,Microsoft Corporation,0,C:\Program Files\Microsoft Office\,C:\MSOCache\All Users\{90150000-0011-0000-1000-0000000FF1CE}-C\,
2016-06-20 23:56:53.3906579,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\000051091A0090400100000000F01FEC,Microsoft OneNote MUI (English) 2013,Multiple,15.0.4569.1506,20160620,Microsoft Corporation,1033,C:\Program Files\Microsoft Office\,C:\MSOCache\All Users\{90150000-00A1-0409-1000-0000000FF1CE}-C\,
2016-06-20 23:57:15.3443073,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\000051091C0000000100000000F01FEC,Microsoft Office 32-bit Components 2013,Multiple,15.0.4569.1506,20160620,Microsoft Corporation,0,C:\Program Files\Microsoft Office\,C:\MSOCache\All Users\{90150000-0011-0000-1000-0000000FF1CE}-C\,
2016-06-20 23:56:30.6531937,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\000051091C0090400100000000F01FEC,Microsoft Office Shared 32-bit MUI (English) 2013,Multiple,15.0.4569.1506,20160620,Microsoft Corporation,1033,C:\Program Files\Microsoft Office\,C:\MSOCache\All Users\{90150000-00C1-0409-1000-0000000FF1CE}-C\,
2016-06-20 23:57:01.4323668,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\000051091E0090400100000000F01FEC,Microsoft Office OSM MUI (English) 2013,Multiple,15.0.4569.1506,20160620,Microsoft Corporation,1033,C:\Program Files\Microsoft Office\,C:\MSOCache\All Users\{90150000-00E1-0409-1000-0000000FF1CE}-C\,
2016-06-20 23:57:02.4257869,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\000051092E0090400100000000F01FEC,Microsoft Office OSM UX MUI (English) 2013,Multiple,15.0.4569.1506,20160620,Microsoft Corporation,1033,C:\Program Files\Microsoft Office\,C:\MSOCache\All Users\{90150000-00E2-0409-1000-0000000FF1CE}-C\,
2016-06-20 23:56:28.3979296,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\00005109440090400100000000F01FEC,Microsoft InfoPath MUI (English) 2013,Multiple,15.0.4569.1506,20160620,Microsoft Corporation,1033,C:\Program Files\Microsoft Office\,C:\MSOCache\All Users\{90150000-0044-0409-1000-0000000FF1CE}-C\,
2016-06-20 23:56:18.9755086,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\00005109510090400100000000F01FEC,Microsoft Access MUI (English) 2013,Multiple,15.0.4569.1506,20160620,Microsoft Corporation,1033,C:\Program Files\Microsoft Office\,C:\MSOCache\All Users\{90150000-0117-0409-1000-0000000FF1CE}-C\Access.en-us\,
2016-06-20 23:56:10.0501021,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\00005109511090400100000000F01FEC,Microsoft Office Shared Setup Metadata MUI (English) 2013,Multiple,15.0.4569.1506,20160620,Microsoft Corporation,1033,C:\Program Files\Microsoft Office\,C:\MSOCache\All Users\{90150000-0115-0409-1000-0000000FF1CE}-C\,
2016-06-20 23:56:36.1515038,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\00005109610090400100000000F01FEC,Microsoft Excel MUI (English) 2013,Multiple,15.0.4569.1506,20160620,Microsoft Corporation,1033,C:\Program Files\Microsoft Office\,C:\MSOCache\All Users\{90150000-0016-0409-1000-0000000FF1CE}-C\,
2016-06-20 23:56:22.9307549,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\00005109711090400100000000F01FEC,Microsoft Access Setup Metadata MUI (English) 2013,Multiple,15.0.4569.1506,20160620,Microsoft Corporation,1033,C:\Program Files\Microsoft Office\,C:\MSOCache\All Users\{90150000-0117-0409-1000-0000000FF1CE}-C\,
