Name,BatchKeyPath,Description,BatchValueName,DisplayName,StartMode,ServiceType,NameKeyLastWrite,ParametersKeyLastWrite,Group,ImagePath,ServiceDLL,RequiredPrivileges
SgrmBroker,ROOT\ControlSet001\Services,"@%SystemRoot%\System32\SgrmBroker.exe,-101",None,"@%SystemRoot%\System32\SgrmBroker.exe,-100",Automatic,Win32OwnProcess,2018-04-11 23:38:44.5028756,,,%SystemRoot%\system32\SgrmBroker.exe,,SeImpersonatePrivilege
SharedAccess,ROOT\ControlSet001\Services,"@%SystemRoot%\system32\ipnathlp.dll,-107",None,"@%SystemRoot%\system32\ipnathlp.dll,-106",Manual,Win32ShareProcess,2018-04-11 23:39:26.3188349,2018-04-11 23:38:44.4872494,,%SystemRoot%\System32\svchost.exe -k netsvcs -p,,SeChangeNotifyPrivilege SeCreateGlobalPrivilege SeImpersonatePrivilege SeLoadDriverPrivilege SeTakeOwnershipPrivilege
SharedRealitySvc,ROOT\ControlSet001\Services,"@%SystemRoot%\system32\SharedRealitySvc.dll,-101",None,"@%SystemRoot%\system32\SharedRealitySvc.dll,-100",Manual,Win32ShareProcess,2018-04-11 23:38:44.4872494,2018-04-11 23:38:44.4872494,,%SystemRoot%\system32\svchost.exe -k LocalService -p,,SeImpersonatePrivilege
ShellHWDetection,ROOT\ControlSet001\Services,"@%SystemRoot%\System32\shsvcs.dll,-12289",None,"@%SystemRoot%\System32\shsvcs.dll,-12288",Automatic,Win32ShareProcess,2018-04-11 23:38:44.4872494,2018-04-11 23:38:44.4872494,ShellSvcGroup,%SystemRoot%\System32\svchost.exe -k netsvcs -p,,SeImpersonatePrivilege SeSystemEnvironmentPrivilege
shpamsvc,ROOT\ControlSet001\Services,"@%SystemRoot%\System32\Windows.SharedPC.AccountManager.dll,-101",None,"@%SystemRoot%\System32\Windows.SharedPC.AccountManager.dll,-100",Disabled,Win32ShareProcess,2018-04-11 23:38:44.4872494,2018-04-11 23:38:44.4872494,,%SystemRoot%\System32\svchost.exe -k netsvcs -p,,SeTcbPrivilege SeTakeOwnershipPrivilege
SiSRaid2,ROOT\ControlSet001\Services,,None,,Boot,KernelDriver,2018-04-25 19:59:00.5845675,2018-04-11 23:38:07.1847488,SCSI Miniport,System32\drivers\SiSRaid2.sys,,
SiSRaid4,ROOT\ControlSet001\Services,,None,,Boot,KernelDriver,2018-04-25 19:59:00.5845675,2018-04-11 23:38:07.2160019,SCSI Miniport,System32\drivers\sisraid4.sys,,
smbdirect,ROOT\ControlSet001\Services,,None,,Manual,FileSystemDriver,2018-04-12 09:20:04.2797163,,Network,System32\DRIVERS\smbdirect.sys,,
smphost,ROOT\ControlSet001\Services,"@%SystemRoot%\System32\smphost.dll,-101",None,"@%SystemRoot%\System32\smphost.dll,-102",Manual,Win32OwnProcess,2018-04-11 23:38:44.4872494,2018-04-11 23:38:44.4872494,,%SystemRoot%\System32\svchost.exe -k smphost,,
SmsRouter,ROOT\ControlSet001\Services,"@%SystemRoot%\System32\SmsRouterSvc.dll,-10002",None,"@%SystemRoot%\System32\SmsRouterSvc.dll,-10001",Manual,Win32ShareProcess,2018-04-11 23:39:26.3188349,2018-04-11 23:38:44.4872494,,%SystemRoot%\system32\svchost.exe -k LocalServiceNetworkRestricted -p,,SeChangeNotifyPrivilege SeImpersonatePrivilege SeAuditPrivilege
SMSvcHost 4.0.0.0,ROOT\ControlSet001\Services,,None,,Disabled,Adapter,2018-04-25 20:08:35.0244551,,,,,
SNMPTRAP,ROOT\ControlSet001\Services,"@%SystemRoot%\system32\snmptrap.exe,-4",None,"@%SystemRoot%\system32\snmptrap.exe,-3",Manual,Win32OwnProcess,2018-04-11 23:38:44.4872494,,,%SystemRoot%\System32\snmptrap.exe,,SeChangeNotifyPrivilege
spaceport,ROOT\ControlSet001\Services,,None,"@spaceport.inf,%Spaceport_ServiceDesc%;Storage Spaces Driver",Boot,KernelDriver,2019-02-15 13:45:03.7337368,2018-04-25 19:58:54.3966381,System Bus Extender,System32\drivers\spaceport.sys,,
