CacheEntryPosition,BatchKeyPath,ProgramName,BatchValueName,ModifiedTime
111,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\MdSched.exe,AppCompatCache,2013-08-22 11:01:43.3189660
112,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\iscsicpl.exe,AppCompatCache,2013-08-22 11:22:44.4067164
113,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\dfrgui.exe,AppCompatCache,2014-03-21 18:49:08.0948571
114,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Program Files\Windows NT\Accessories\wordpad.exe,AppCompatCache,2013-08-22 10:21:30.3239554
115,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\psr.exe,AppCompatCache,2013-08-22 10:51:09.7297765
116,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\mstsc.exe,AppCompatCache,2013-08-22 10:06:45.8288636
117,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\mspaint.exe,AppCompatCache,2013-08-22 10:47:44.8503913
118,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\calc.exe,AppCompatCache,2013-08-22 10:51:45.4987227
119,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\osk.exe,AppCompatCache,2014-03-21 18:49:11.7823131
120,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\Narrator.exe,AppCompatCache,2013-08-22 11:11:34.6254140
121,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\Magnify.exe,AppCompatCache,2013-08-22 10:37:27.4072946
122,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\ie4uinit.exe,AppCompatCache,2014-03-21 18:49:52.8917544
123,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\SysWOW64\rundll32.exe,AppCompatCache,2013-08-22 03:40:23.7911325
124,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\oobe\msoobe.exe,AppCompatCache,2013-08-22 10:34:10.6108906
125,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\oobe\oobeldr.exe,AppCompatCache,2014-03-21 18:49:04.1729410
126,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\oobe\windeploy.exe,AppCompatCache,2014-03-21 18:49:03.9541977
127,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\oobe\Setup.exe,AppCompatCache,2014-03-21 18:49:04.0010638
128,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Program Files (x86)\Internet Explorer\iexplore.exe,AppCompatCache,2014-03-21 19:02:52.1573875
129,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Program Files\Internet Explorer\iexplore.exe,AppCompatCache,2014-03-21 19:02:52.1573875
130,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\SysWOW64\setup16.exe,AppCompatCache,2013-08-22 04:03:23.2545280
131,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\SysWOW64\regsvr32.exe,AppCompatCache,2013-08-22 03:55:58.6328030
132,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\SysWOW64\instnm.exe,AppCompatCache,2013-08-22 04:03:22.7544789
133,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\SysWOW64\InstallShield\_isdel.exe,AppCompatCache,2013-06-18 13:14:55.1237748
134,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\SysWOW64\InstallShield\setup.exe,AppCompatCache,2013-06-18 13:14:55.1862781
135,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\SysWOW64\explorer.exe,AppCompatCache,2014-03-21 18:49:40.4542735
136,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\SysWOW64\dpnsvr.exe,AppCompatCache,2013-08-22 04:05:19.2190240
137,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\SysWOW64\dplaysvr.exe,AppCompatCache,2013-08-22 04:05:19.2190240
138,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\regsvr32.exe,AppCompatCache,2013-08-22 11:22:40.9220234
