ProgramId,KeyLastWriteTimestamp,Name,Version,Publisher,InstallDate,OSVersionAtInstallTime,BundleManifestPath,HiddenArp,InboxModernApp,Language,ManifestPath,MsiPackageCode,MsiProductCode,PackageFullName,ProgramInstanceId,RegistryKeyPath,RootDirPath,Type,Source,StoreAppType,UninstallString,InstallDateArpLastModified,InstallDateMsi,InstallDateFromLinkFile,Manufacturer
00005c7e50bb3469f9e51bdac64994fc89ec00000904,2018-04-06 07:23:11,Microsoft.Messaging,3.37.23004.0,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,10.0.0.16299,C:\Program Files\WindowsApps\Microsoft.Messaging_2018.124.707.0_neutral_~_8wekyb3d8bbwe\AppxMetadata\AppXBundleManifest.xml,False,True,1033,C:\Program Files\WindowsApps\Microsoft.Messaging_3.37.23004.0_x64__8wekyb3d8bbwe\AppXManifest.xml,,,Microsoft.Messaging_3.37.23004.0_x64__8wekyb3d8bbwe,0000da39a3ee5e6b4b0d3255bfef95601890afd80709,,C:\Program Files\WindowsApps\Microsoft.Messaging_3.37.23004.0_x64__8wekyb3d8bbwe,Application,AppxPackage,,,,,,
0000661ac2e25b5455f7000837200bc8398200000904,2018-04-06 07:23:12,Microsoft.Office.OneNote,17.9126.20561.0,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,10.0.0.16299,C:\Program Files\WindowsApps\Microsoft.Office.OneNote_2015.9126.20561.0_neutral_~_8wekyb3d8bbwe\AppxMetadata\AppXBundleManifest.xml,False,True,1033,C:\Program Files\WindowsApps\Microsoft.Office.OneNote_17.9126.20561.0_x64__8wekyb3d8bbwe\AppXManifest.xml,,,Microsoft.Office.OneNote_17.9126.20561.0_x64__8wekyb3d8bbwe,0000da39a3ee5e6b4b0d3255bfef95601890afd80709,,C:\Program Files\WindowsApps\Microsoft.Office.OneNote_17.9126.20561.0_x64__8wekyb3d8bbwe,Application,AppxPackage,,,,,,
0000689e37c3bb5043dd20db8e1159772c2600000904,2018-04-06 07:23:12,Microsoft.DesktopAppInstaller,1.0.12894.0,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,10.0.0.16299,C:\Program Files\WindowsApps\Microsoft.DesktopAppInstaller_1.10.16004.0_neutral_~_8wekyb3d8bbwe\AppxMetadata\AppXBundleManifest.xml,False,True,1033,C:\Program Files\WindowsApps\Microsoft.DesktopAppInstaller_1.0.12894.0_x64__8wekyb3d8bbwe\AppXManifest.xml,,,Microsoft.DesktopAppInstaller_1.0.12894.0_x64__8wekyb3d8bbwe,0000da39a3ee5e6b4b0d3255bfef95601890afd80709,,C:\Program Files\WindowsApps\Microsoft.DesktopAppInstaller_1.0.12894.0_x64__8wekyb3d8bbwe,Application,AppxPackage,,,,,,
0000699d748935935417b72232d548199bcc00000000,2018-04-06 07:23:13,Office 16 Click-to-Run Extensibility Component 64-bit Registration,16.0.8431.2236,Microsoft Corporation,2018-03-27 00:00:00,10.0.0.16299,,True,False,0,,{AC8B0AC9-16C7-4C06-8B3C-09DA31C6069F},{90160000-00DD-0000-1000-0000000FF1CE},,0000da39a3ee5e6b4b0d3255bfef95601890afd80709,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Uninstall\{90160000-00DD-0000-1000-0000000FF1CE},,Application,Msi,,MsiExec.exe /X{90160000-00DD-0000-1000-0000000FF1CE},,,,
0000703589d3c7211029b89ee315b050a19100000904,2018-04-06 07:23:10,1527c705-839a-4832-9118-54d4Bd6a0c89,10.0.16299.15,"CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,10.0.0.16299,,False,True,1033,C:\Windows\SystemApps\Microsoft.Windows.FilePicker_cw5n1h2txyewy\AppXManifest.xml,,,1527c705-839a-4832-9118-54d4Bd6a0c89_10.0.16299.15_neutral_neutral_cw5n1h2txyewy,0000da39a3ee5e6b4b0d3255bfef95601890afd80709,,C:\Windows\SystemApps\Microsoft.Windows.FilePicker_cw5n1h2txyewy,Application,AppxPackage,,,,,,
00007ceb78e6da0a01f2c74e5412f416410900000904,2018-04-06 07:23:12,Microsoft.SkypeApp,12.1811.248.0,"CN=Skype Software Sarl, O=Microsoft Corporation, L=Luxembourg, S=Luxembourg, C=LU",,10.0.0.16299,C:\Program Files\WindowsApps\Microsoft.SkypeApp_12.1811.248.0_neutral_~_kzf8qxf38zg5c\AppxMetadata\AppXBundleManifest.xml,False,True,1033,C:\Program Files\WindowsApps\Microsoft.SkypeApp_12.1811.248.0_x64__kzf8qxf38zg5c\AppXManifest.xml,,,Microsoft.SkypeApp_12.1811.248.0_x64__kzf8qxf38zg5c,0000da39a3ee5e6b4b0d3255bfef95601890afd80709,,C:\Program Files\WindowsApps\Microsoft.SkypeApp_12.1811.248.0_x64__kzf8qxf38zg5c,Application,AppxPackage,,,,,,
000084a9efe9e4382d84bdc46a75ca00f7aa00000008,2018-04-06 07:23:13,NVIDIA 3D Vision Driver 376.54,376.54,NVIDIA Corporation,2018-03-27 00:00:00,10.0.0.16299,,False,False,2048,,,{B2FE1952-0186-46C3-BAEC-A80AA35AC5B8},,0000da39a3ee5e6b4b0d3255bfef95601890afd80709,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Uninstall\{B2FE1952-0186-46C3-BAEC-A80AA35AC5B8}_Display.3DVision,C:\Program Files (x86)\NVIDIA Corporation\3D Vision,Application,Msi,,"""C:\Windows\SysWOW64\RunDll32.EXE"" ""C:\Program Files\NVIDIA Corporation\Installer2\InstallerCore\NVI2.DLL"",UninstallPackage Display.3DVision",,,,
000085b3c6f38323920bd0a31070a12dbe4900000904,2018-04-06 07:23:11,Microsoft.Windows.SecureAssessmentBrowser,10.0.16299.15,"CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,10.0.0.16299,,False,True,1033,C:\Windows\SystemApps\Microsoft.Windows.SecureAssessmentBrowser_cw5n1h2txyewy\AppXManifest.xml,,,Microsoft.Windows.SecureAssessmentBrowser_10.0.16299.15_neutral_neutral_cw5n1h2txyewy,0000da39a3ee5e6b4b0d3255bfef95601890afd80709,,C:\Windows\SystemApps\Microsoft.Windows.SecureAssessmentBrowser_cw5n1h2txyewy,Application,AppxPackage,,,,,,
00008842fe67a5a52e9ddddf51310a82be3700000904,2018-04-06 07:23:10,Microsoft.AAD.BrokerPlugin,1000.16299.15.0,"CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,10.0.0.16299,,False,True,1033,C:\Windows\SystemApps\Microsoft.AAD.BrokerPlugin_cw5n1h2txyewy\AppXManifest.xml,,,Microsoft.AAD.BrokerPlugin_1000.16299.15.0_neutral_neutral_cw5n1h2txyewy,0000da39a3ee5e6b4b0d3255bfef95601890afd80709,,C:\Windows\SystemApps\Microsoft.AAD.BrokerPlugin_cw5n1h2txyewy,Application,AppxPackage,,,,,,
000088f8b5a836d5512ac91d29ac94c9e68900000904,2018-04-06 07:23:11,Microsoft.XboxSpeechToTextOverlay,1.21.13002.0,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,10.0.0.16299,C:\Program Files\WindowsApps\Microsoft.XboxSpeechToTextOverlay_1.21.13002.0_neutral_~_8wekyb3d8bbwe\AppxMetadata\AppXBundleManifest.xml,False,True,1033,C:\Program Files\WindowsApps\Microsoft.XboxSpeechToTextOverlay_1.21.13002.0_x64__8wekyb3d8bbwe\AppXManifest.xml,,,Microsoft.XboxSpeechToTextOverlay_1.21.13002.0_x64__8wekyb3d8bbwe,0000da39a3ee5e6b4b0d3255bfef95601890afd80709,,C:\Program Files\WindowsApps\Microsoft.XboxSpeechToTextOverlay_1.21.13002.0_x64__8wekyb3d8bbwe,Application,AppxPackage,,,,,,
