CacheEntryPosition,BatchKeyPath,ProgramName,BatchValueName,ModifiedTime
90,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,c:\c0a7b417abb8defb8d\install.exe,AppCompatCache,2011-04-19 11:09:16.0000000
91,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\IEUser\AppData\Local\Temp\{1F040F4A-D0CE-4855-9ADE-A255D9DFCAF6}~setup\vcredist_x64.exe,AppCompatCache,2018-04-25 20:07:39.9172357
92,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,c:\192d0a35745d310419bb\install.exe,AppCompatCache,2011-04-19 07:30:10.0000000
93,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\IEUser\AppData\Local\Temp\{1F040F4A-D0CE-4855-9ADE-A255D9DFCAF6}~setup\vcredist_x86.exe,AppCompatCache,2018-04-25 20:07:39.9172357
94,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files (x86)\7-Zip\7zFM.exe,AppCompatCache,2010-11-19 04:09:02.0000000
95,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\Temp\VMWare\setup64.exe,AppCompatCache,2017-11-30 11:02:45.0000000
96,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\Temp\VMWare\setup.exe,AppCompatCache,2017-11-30 11:02:45.0000000
97,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files (x86)\7-Zip\7z.exe,AppCompatCache,2010-11-19 04:08:04.0000000
98,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\OpenSSH\bin\scp.exe,AppCompatCache,2015-01-14 02:36:56.0000000
99,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\OpenSSH\bin\sh.exe,AppCompatCache,2015-01-14 02:34:02.0000000
100,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\System32\LocationNotificationWindows.exe,AppCompatCache,2018-04-11 23:34:29.6804957
101,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\OpenSSH\uninstall.exe,AppCompatCache,2018-04-25 20:06:41.4100753
102,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\OpenSSH\usr\sbin\sshd.exe,AppCompatCache,2015-01-14 02:36:56.0000000
103,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\system32\hostname.EXE,AppCompatCache,2018-04-11 23:34:14.0990253
104,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\OpenSSH\bin\cygrunsrv.exe,AppCompatCache,2015-01-14 02:34:12.0000000
105,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\OpenSSH\bin\chmod.exe,AppCompatCache,2015-01-14 02:34:10.0000000
106,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\OpenSSH\bin\chown.exe,AppCompatCache,2015-01-14 02:34:10.0000000
107,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\SysWOW64\icacls.exe,AppCompatCache,2018-04-11 23:34:48.9175477
108,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\system32\icacls.exe,AppCompatCache,2018-04-11 23:34:12.4270139
109,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\OpenSSH\bin\editrights.exe,AppCompatCache,2015-01-14 02:34:22.0000000
110,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\SysWOW64\netsh.exe,AppCompatCache,2018-04-11 23:34:49.1363144
111,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\system32\netsh.exe,AppCompatCache,2018-04-11 23:34:14.0521462
112,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\SysWOW64\cacls.exe,AppCompatCache,2018-04-11 23:35:00.7309320
113,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\SYSTEM32\cacls.exe,AppCompatCache,2018-04-11 23:35:00.7309320
114,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\OpenSSH\bin\mv.exe,AppCompatCache,2015-01-14 02:34:10.0000000
115,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\OpenSSH\bin\ssh-keygen.exe,AppCompatCache,2015-01-14 02:36:56.0000000
116,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\SysWOW64\Wbem\WMIC.exe,AppCompatCache,2018-04-11 23:34:55.1992681
117,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\SysWOW64\net1.exe,AppCompatCache,2018-04-11 23:34:50.3395287
118,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\SysWOW64\net.exe,AppCompatCache,2018-04-11 23:34:48.8550426
119,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\OpenSSH\bin\mkpasswd.exe,AppCompatCache,2015-01-14 02:34:18.0000000
120,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\OpenSSH\bin\mkgroup.exe,AppCompatCache,2015-01-14 02:34:18.0000000
121,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\OpenSSH\bin\junction.exe,AppCompatCache,2013-06-08 01:40:36.0000000
122,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\Temp\openssh.exe,AppCompatCache,2018-04-25 20:06:28.0522887
123,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\WindowsApps\Microsoft.BingWeather_4.22.3254.0_x64__8wekyb3d8bbwe\Application,AppCompatCache,2018-04-25 19:59:26.3868935
124,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\system32\WerFault.exe,AppCompatCache,2018-04-11 23:34:22.4611498
125,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\System32\shutdown.exe,AppCompatCache,2018-04-11 23:34:24.6332049
126,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\Puppet Labs\Puppet\bin\run_puppet_interactive.bat,AppCompatCache,2016-04-25 20:19:04.0000000
127,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\Puppet Labs\Puppet\bin\run_facter_interactive.bat,AppCompatCache,2016-04-25 20:19:04.0000000
128,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\Puppet Labs\Puppet\sys\ruby\bin\ruby.exe,AppCompatCache,2016-04-25 20:43:58.0000000
129,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\WindowsApps\Microsoft.Messaging_3.38.22001.0_x64__8wekyb3d8bbwe\Application,AppCompatCache,2018-04-25 19:59:29.2147731
130,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\ProgramData\chocolatey\bin\choco.exe,AppCompatCache,2018-04-12 20:22:38.0000000
131,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\ProgramData\chocolatey\choco.exe,AppCompatCache,2018-04-12 20:22:38.0000000
132,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\IEUser\AppData\Local\Microsoft\OneDrive\17.3.6816.0313\FileCoAuth.exe,AppCompatCache,2018-04-25 20:02:24.6412197
133,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\System32\setx.exe,AppCompatCache,2018-04-11 23:34:14.0677725
