ControlSet,CacheEntryPosition,Path,LastModifiedTimeUTC,Executed,Duplicate,SourceFile
1,31,SYSVOL\Windows\System32\dwm.exe,2014-03-21 18:49:31,Yes,False,D:\dfirmadness\DC01-E01\tout\F\Windows\System32\config\SYSTEM
1,32,SYSVOL\Windows\System32\lsass.exe,2013-08-22 13:25:35,Yes,False,D:\dfirmadness\DC01-E01\tout\F\Windows\System32\config\SYSTEM
1,33,SYSVOL\Windows\System32\services.exe,2013-08-22 13:25:40,Yes,False,D:\dfirmadness\DC01-E01\tout\F\Windows\System32\config\SYSTEM
1,34,SYSVOL\Windows\System32\rundll32.exe,2013-08-22 11:03:41,Yes,False,D:\dfirmadness\DC01-E01\tout\F\Windows\System32\config\SYSTEM
1,35,SYSVOL\Windows\System32\WerFault.exe,2014-03-21 18:49:25,Yes,False,D:\dfirmadness\DC01-E01\tout\F\Windows\System32\config\SYSTEM
1,36,SYSVOL\Windows\System32\wermgr.exe,2014-03-21 18:49:25,Yes,False,D:\dfirmadness\DC01-E01\tout\F\Windows\System32\config\SYSTEM
1,37,SYSVOL\Windows\System32\notepad.exe,2013-08-22 11:00:12,Yes,False,D:\dfirmadness\DC01-E01\tout\F\Windows\System32\config\SYSTEM
1,38,SYSVOL\Windows\Microsoft.NET\Framework\v4.0.30319\ngen.exe,2013-08-10 00:54:18,Yes,False,D:\dfirmadness\DC01-E01\tout\F\Windows\System32\config\SYSTEM
1,39,SYSVOL\Windows\Microsoft.NET\Framework64\v4.0.30319\ngen.exe,2013-08-10 00:41:20,Yes,False,D:\dfirmadness\DC01-E01\tout\F\Windows\System32\config\SYSTEM
1,40,SYSVOL\Windows\Microsoft.NET\Framework\v4.0.30319\ngentask.exe,2013-08-10 00:54:18,Yes,False,D:\dfirmadness\DC01-E01\tout\F\Windows\System32\config\SYSTEM
1,41,SYSVOL\Windows\Microsoft.NET\Framework64\v4.0.30319\ngentask.exe,2013-08-10 00:41:20,Yes,False,D:\dfirmadness\DC01-E01\tout\F\Windows\System32\config\SYSTEM
1,42,SYSVOL\Windows\System32\aitagent.exe,2014-03-21 18:49:05,Yes,False,D:\dfirmadness\DC01-E01\tout\F\Windows\System32\config\SYSTEM
1,43,SYSVOL\Windows\System32\wsmprovhost.exe,2013-08-22 11:03:07,Yes,False,D:\dfirmadness\DC01-E01\tout\F\Windows\System32\config\SYSTEM
1,44,SYSVOL\Windows\System32\mmc.exe,2013-08-22 11:01:45,Yes,False,D:\dfirmadness\DC01-E01\tout\F\Windows\System32\config\SYSTEM
1,45,SYSVOL\Windows\System32\schtasks.exe,2013-08-22 10:42:55,Yes,False,D:\dfirmadness\DC01-E01\tout\F\Windows\System32\config\SYSTEM
1,46,SYSVOL\Windows\System32\wsqmcons.exe,2014-03-21 18:49:24,Yes,False,D:\dfirmadness\DC01-E01\tout\F\Windows\System32\config\SYSTEM
1,47,SYSVOL\Windows\System32\control.exe,2013-08-22 11:03:56,Yes,False,D:\dfirmadness\DC01-E01\tout\F\Windows\System32\config\SYSTEM
