Name,BatchKeyPath,Description,BatchValueName,DisplayName,StartMode,ServiceType,NameKeyLastWrite,ParametersKeyLastWrite,Group,ImagePath,ServiceDLL,RequiredPrivileges
workfolderssvc,ROOT\ControlSet001\Services,"@%systemroot%\system32\workfolderssvc.dll,-101",None,"@%systemroot%\system32\workfolderssvc.dll,-102",Manual,Win32ShareProcess,2018-09-15 07:34:18.4586352,2018-09-15 07:34:18.4586352,LocalService,%SystemRoot%\System32\svchost.exe -k LocalService -p,,SeImpersonatePrivilege
WpcMonSvc,ROOT\ControlSet001\Services,"@%systemroot%\system32\WpcRefreshTask.dll,-101",None,"@%systemroot%\system32\WpcRefreshTask.dll,-100",Manual,Win32OwnProcess,2018-09-15 07:34:18.4586352,2018-09-15 07:34:18.4586352,,%SystemRoot%\system32\svchost.exe -k LocalService,,
WPDBusEnum,ROOT\ControlSet001\Services,"@%SystemRoot%\system32\wpdbusenum.dll,-101",None,"@%SystemRoot%\system32\wpdbusenum.dll,-100",Manual,Win32ShareProcess,2018-09-15 09:10:09.9882065,2018-09-15 09:10:07.4943157,,%SystemRoot%\system32\svchost.exe -k LocalSystemNetworkRestricted,,SeAuditPrivilege SeTcbPrivilege SeChangeNotifyPrivilege SeCreateGlobalPrivilege SeCreatePermanentPrivilege SeImpersonatePrivilege
WpdUpFltr,ROOT\ControlSet001\Services,"@%systemroot%\System32\drivers\WpdUpFltr.sys,-100",None,"@%systemroot%\System32\drivers\WpdUpFltr.sys,-100",Manual,KernelDriver,2018-09-15 09:10:07.4943157,,PnP Filter,System32\drivers\WpdUpFltr.sys,,
WpnService,ROOT\ControlSet001\Services,"@%SystemRoot%\system32\wpnservice.dll,-2",None,"@%SystemRoot%\system32\wpnservice.dll,-1",Automatic,Win32ShareProcess,2018-09-15 07:34:18.4586352,,,%systemroot%\system32\svchost.exe -k netsvcs -p,,SeChangeNotifyPrivilege SeImpersonatePrivilege SeCreateGlobalPrivilege SeTcbPrivilege
WpnUserService,ROOT\ControlSet001\Services,"@%SystemRoot%\system32\WpnUserService.dll,-2",None,"@%SystemRoot%\system32\WpnUserService.dll,-1",Automatic,96,2018-09-15 07:34:18.4586352,2018-09-15 07:34:18.4586352,,%SystemRoot%\system32\svchost.exe -k UnistackSvcGroup,,SeImpersonatePrivilege SeCreateGlobalPrivilege
WpnUserService_17144,ROOT\ControlSet001\Services,"@%SystemRoot%\system32\WpnUserService.dll,-2",None,WpnUserService_17144,Automatic,224,2019-05-26 08:49:27.8002640,,,C:\Windows\system32\svchost.exe -k UnistackSvcGroup,,
ws2ifsl,ROOT\ControlSet001\Services,"@%systemroot%\System32\drivers\ws2ifsl.sys,-1000",None,Windows Socket 2.0 Non-IFS Service Provider Support Environment,System,KernelDriver,2019-03-19 13:24:56.8838399,2018-09-15 07:34:18.4586352,PNP_TDI,\SystemRoot\system32\drivers\ws2ifsl.sys,,
wscsvc,ROOT\ControlSet001\Services,"@%SystemRoot%\System32\wscsvc.dll,-201",None,"@%SystemRoot%\System32\wscsvc.dll,-200",Automatic,Win32ShareProcess,2018-09-15 07:34:18.4586352,2018-09-15 07:34:18.4586352,,%SystemRoot%\System32\svchost.exe -k LocalServiceNetworkRestricted -p,,SeChangeNotifyPrivilege SeImpersonatePrivilege
WSearch,ROOT\ControlSet001\Services,"@%systemroot%\system32\SearchIndexer.exe,-104",None,"@%systemroot%\system32\SearchIndexer.exe,-103",Automatic,Win32OwnProcess,2019-03-19 13:19:20.9735318,,,%systemroot%\system32\SearchIndexer.exe /Embedding,,SeChangeNotifyPrivilege SeManageVolumePrivilege SeImpersonatePrivilege SeAssignPrimaryTokenPrivilege SeIncreaseQuotaPrivilege SeTcbPrivilege
WSearchIdxPi,ROOT\ControlSet001\Services,,None,,Disabled,Adapter,2018-09-15 07:34:18.4586352,,,,,
wuauserv,ROOT\ControlSet001\Services,"@%systemroot%\system32\wuaueng.dll,-106",None,"@%systemroot%\system32\wuaueng.dll,-105",Manual,Win32ShareProcess,2019-03-19 12:59:41.6040357,2018-09-15 07:34:18.4586352,,%systemroot%\system32\svchost.exe -k netsvcs -p,,SeAuditPrivilege SeCreateGlobalPrivilege SeCreatePageFilePrivilege SeTcbPrivilege SeAssignPrimaryTokenPrivilege SeImpersonatePrivilege SeIncreaseQuotaPrivilege SeShutdownPrivilege SeDebugPrivilege SeBackupPrivilege SeRestorePrivilege SeSecurityPrivilege SeTakeOwnershipPrivilege SeLoadDriverPrivilege SeManageVolumePrivilege SeSystemEnvironmentPrivilege SeCreateSymbolicLinkPrivilege SeIncreaseBasePriorityPrivilege
WudfPf,ROOT\ControlSet001\Services,"@%systemroot%\system32\drivers\Wudfpf.sys,-1001",None,"@%SystemRoot%\system32\drivers\Wudfpf.sys,-1000",Manual,KernelDriver,2018-09-15 07:34:18.4586352,,base,system32\drivers\WudfPf.sys,,
WUDFRd,ROOT\ControlSet001\Services,"@%systemroot%\system32\drivers\WudfRd.sys,-1001",None,"@%SystemRoot%\system32\drivers\WudfRd.sys,-1000",Manual,KernelDriver,2018-09-15 07:34:18.4586352,,base,system32\drivers\WudfRd.sys,,
WwanSvc,ROOT\ControlSet001\Services,"@%SystemRoot%\System32\wwansvc.dll,-258",None,"@%SystemRoot%\System32\wwansvc.dll,-257",Manual,Win32ShareProcess,2018-09-15 07:34:18.4586352,2018-09-15 07:34:18.4586352,TDI,%SystemRoot%\system32\svchost.exe -k LocalSystemNetworkRestricted -p,,SeChangeNotifyPrivilege SeImpersonatePrivilege SeAuditPrivilege SeLoadDriverPrivilege
XblAuthManager,ROOT\ControlSet001\Services,"@%systemroot%\system32\XblAuthManager.dll,-101",None,"@%systemroot%\system32\XblAuthManager.dll,-100",Manual,Win32ShareProcess,2018-09-15 07:34:18.4586352,2018-09-15 07:34:18.4586352,,%SystemRoot%\system32\svchost.exe -k netsvcs -p,,SeTcbPrivilege SeImpersonatePrivilege SeChangeNotifyPrivilege SeCreateGlobalPrivilege
XblGameSave,ROOT\ControlSet001\Services,"@%systemroot%\system32\XblGameSave.dll,-101",None,"@%systemroot%\system32\XblGameSave.dll,-100",Manual,Win32ShareProcess,2018-09-15 07:35:10.6819328,2018-09-15 07:34:18.4586352,,%SystemRoot%\system32\svchost.exe -k netsvcs -p,,
xboxgip,ROOT\ControlSet001\Services,"@xboxgip.inf,%XBOXGIP_Desc%;Xbox Game Input Protocol Driver",None,"@xboxgip.inf,%XBOXGIP_Desc%;Xbox Game Input Protocol Driver",Manual,KernelDriver,2018-09-15 07:33:12.7029078,,NDIS,\SystemRoot\System32\drivers\xboxgip.sys,,
XboxGipSvc,ROOT\ControlSet001\Services,"@%systemroot%\system32\xboxgipsvc.dll,-101",None,"@%systemroot%\system32\xboxgipsvc.dll,-100",Manual,Win32ShareProcess,2018-09-15 07:35:10.6819328,2018-09-15 07:34:18.4586352,,%SystemRoot%\system32\svchost.exe -k netsvcs -p,,SeTcbPrivilege SeImpersonatePrivilege SeChangeNotifyPrivilege SeCreateGlobalPrivilege
XboxNetApiSvc,ROOT\ControlSet001\Services,"@%systemroot%\system32\XboxNetApiSvc.dll,-101",None,"@%systemroot%\system32\XboxNetApiSvc.dll,-100",Manual,Win32ShareProcess,2018-09-15 07:34:18.4586352,2018-09-15 07:34:18.4586352,,%SystemRoot%\system32\svchost.exe -k netsvcs -p,,SeTcbPrivilege SeImpersonatePrivilege
xinputhid,ROOT\ControlSet001\Services,,None,"@xinputhid.inf,%xinputhid.SvcDesc%;XINPUT HID Filter Driver",Manual,KernelDriver,2018-09-15 07:33:12.7497860,,Base,\SystemRoot\System32\drivers\xinputhid.sys,,
xmlprov,ROOT\ControlSet001\Services,,None,,Disabled,Adapter,2018-09-15 07:34:18.4586352,2018-09-15 07:34:18.4586352,,,,
DevicesFlowUserSvc_9b205,ROOT\ControlSet001\Services,"@%SystemRoot%\system32\DevicesFlowBroker.dll,-104",None,DevicesFlow_9b205,Manual,224,2019-05-26 08:46:38.4271282,,,C:\Windows\system32\svchost.exe -k DevicesFlow,,
MessagingService_9b205,ROOT\ControlSet001\Services,"@%SystemRoot%\system32\MessagingService.dll,-101",None,MessagingService_9b205,Manual,224,2019-05-26 08:46:38.4271282,,,C:\Windows\system32\svchost.exe -k UnistackSvcGroup,,
OneSyncSvc_9b205,ROOT\ControlSet001\Services,"@%SystemRoot%\system32\APHostRes.dll,-10001",None,Sync Host_9b205,Automatic,224,2019-05-26 08:46:38.3486711,,,C:\Windows\system32\svchost.exe -k UnistackSvcGroup,,
PimIndexMaintenanceSvc_9b205,ROOT\ControlSet001\Services,,None,Contact Data_9b205,Manual,224,2019-05-26 08:46:38.4271282,,,C:\Windows\system32\svchost.exe -k UnistackSvcGroup,,
