HivePath,HiveType,Description,Category,KeyPath,ValueName,ValueType,ValueData,ValueData2,ValueData3,Comment,Recursive,Deleted,LastWriteTimestamp,PluginDetailFile
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM,System,SafeBoot Minimal,ASEP,ROOT\ControlSet001\Control\SafeBoot\Minimal\TBS,(default),RegSz,Service,,,,True,False,2017-09-29 13:47:04.2282721,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM,System,SafeBoot Minimal,ASEP,ROOT\ControlSet001\Control\SafeBoot\Minimal\TileDataModelSvc,(default),RegSz,Service,,,,True,False,2017-09-29 13:47:04.2282721,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM,System,SafeBoot Minimal,ASEP,ROOT\ControlSet001\Control\SafeBoot\Minimal\TrustedInstaller,(default),RegSz,Service,,,,True,False,2017-09-29 13:47:04.2282721,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM,System,SafeBoot Minimal,ASEP,ROOT\ControlSet001\Control\SafeBoot\Minimal\uefi.sys,(default),RegSz,Driver,,,,True,False,2017-09-29 13:47:04.2282721,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM,System,SafeBoot Minimal,ASEP,ROOT\ControlSet001\Control\SafeBoot\Minimal\UserManager,(default),RegSz,Service,,,,True,False,2017-09-29 13:47:04.2282721,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM,System,SafeBoot Minimal,ASEP,ROOT\ControlSet001\Control\SafeBoot\Minimal\VDS,(default),RegSz,Service,,,,True,False,2017-09-29 13:47:04.2282721,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM,System,SafeBoot Minimal,ASEP,ROOT\ControlSet001\Control\SafeBoot\Minimal\vmms,(default),RegSz,Service,,,,True,False,2017-09-29 13:47:04.2282721,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM,System,SafeBoot Minimal,ASEP,ROOT\ControlSet001\Control\SafeBoot\Minimal\volmgr.sys,(default),RegSz,Driver,,,,True,False,2017-09-29 13:47:04.2282721,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM,System,SafeBoot Minimal,ASEP,ROOT\ControlSet001\Control\SafeBoot\Minimal\volmgrx.sys,(default),RegSz,Driver,,,,True,False,2017-09-29 13:47:04.2282721,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM,System,SafeBoot Minimal,ASEP,ROOT\ControlSet001\Control\SafeBoot\Minimal\Wdf01000.sys,(default),RegSz,Driver,,,,True,False,2018-03-27 09:17:24.9863178,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM,System,SafeBoot Minimal,ASEP,ROOT\ControlSet001\Control\SafeBoot\Minimal\WinDefend,(default),RegSz,Service,,,,True,False,2017-09-29 13:47:04.2282721,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM,System,SafeBoot Minimal,ASEP,ROOT\ControlSet001\Control\SafeBoot\Minimal\WinMgmt,(default),RegSz,Service,,,,True,False,2017-09-29 13:47:04.2282721,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM,System,SafeBoot Minimal,ASEP,ROOT\ControlSet001\Control\SafeBoot\Minimal\WudfPf,(default),RegSz,Driver,,,,True,False,2017-09-29 13:47:04.2282721,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM,System,SafeBoot Minimal,ASEP,ROOT\ControlSet001\Control\SafeBoot\Minimal\WudfRd,(default),RegSz,Driver,,,,True,False,2017-09-29 13:47:04.2282721,
