BatchKeyPath,BatchValueName,Name,Description,DisplayName,StartMode,ServiceType,NameKeyLastWrite,ParametersKeyLastWrite,Group,ImagePath,ServiceDLL,RequiredPrivileges
ROOT\ControlSet001\Services,None,UmPass,,"@umpass.inf,%UmPass.SVCDESC%;Microsoft UMPass Driver",Manual,KernelDriver,2018-03-27 09:55:48.4485779,,Extended Base,\SystemRoot\System32\drivers\umpass.sys,,
ROOT\ControlSet001\Services,None,UmRdpService,"@%SystemRoot%\system32\umrdp.dll,-1001","@%SystemRoot%\system32\umrdp.dll,-1000",Manual,Win32ShareProcess,2017-09-29 14:43:19.5380760,2017-09-29 14:43:18.9490708,,%SystemRoot%\System32\svchost.exe -k LocalSystemNetworkRestricted -p,,SeAuditPrivilege SeChangeNotifyPrivilege SeCreateGlobalPrivilege SeImpersonatePrivilege SeIncreaseQuotaPrivilege SeCreatePermanentPrivilege SeLoadDriverPrivilege SeDebugPrivilege
ROOT\ControlSet001\Services,None,UnistoreSvc,"@%SystemRoot%\system32\UserDataAccessRes.dll,-10002","@%SystemRoot%\system32\UserDataAccessRes.dll,-10003",Manual,96,2017-09-29 13:47:44.6688147,2017-09-29 13:47:03.7907388,,%SystemRoot%\System32\svchost.exe -k UnistackSvcGroup,,SeImpersonatePrivilege SeCreateGlobalPrivilege
ROOT\ControlSet001\Services,None,UnistoreSvc_1d05b,"@%SystemRoot%\system32\UserDataAccessRes.dll,-10002",UnistoreSvc_1d05b,Manual,224,2018-03-27 21:45:45.0127380,,,C:\Windows\System32\svchost.exe -k UnistackSvcGroup,,
ROOT\ControlSet001\Services,None,upnphost,"@%systemroot%\system32\upnphost.dll,-214","@%systemroot%\system32\upnphost.dll,-213",Manual,Win32ShareProcess,2017-09-29 13:47:44.6688147,2017-09-29 13:47:03.7907388,,%SystemRoot%\system32\svchost.exe -k LocalServiceAndNoImpersonation -p,,SeChangeNotifyPrivilege SeCreateGlobalPrivilege
ROOT\ControlSet001\Services,None,UrsChipidea,,"@urschipidea.inf,%UrsChipidea.ServiceName%;Chipidea USB Role-Switch Driver",Manual,KernelDriver,2018-03-27 12:11:29.3846752,2018-03-27 12:11:29.3846752,Base,\SystemRoot\System32\drivers\urschipidea.sys,,
ROOT\ControlSet001\Services,None,UrsCx01000,,USB Role-Switch Support Library,Manual,KernelDriver,2018-03-27 12:11:29.1659162,2018-03-27 12:11:29.1659162,System Bus Extender,system32\drivers\urscx01000.sys,,
ROOT\ControlSet001\Services,None,UrsSynopsys,,"@urssynopsys.inf,%UrsSynopsys.ServiceName%;Synopsys USB Role-Switch Driver",Manual,KernelDriver,2017-09-29 13:46:23.4906698,,Base,\SystemRoot\System32\drivers\urssynopsys.sys,,
ROOT\ControlSet001\Services,None,usbccgp,,"@usb.inf,%GenericParent.SvcDesc%;Microsoft USB Generic Parent Driver",Manual,KernelDriver,2018-03-27 21:45:44.2339493,,Base,\SystemRoot\System32\drivers\usbccgp.sys,,
ROOT\ControlSet001\Services,None,usbcir,,"@usbcir.inf,%usbcir.SVCDESC%;eHome Infrared Receiver (USBCIR)",Manual,KernelDriver,2017-09-29 13:46:06.2549069,2017-09-29 13:46:06.2549069,Extended Base,\SystemRoot\System32\drivers\usbcir.sys,,
