Name,BatchKeyPath,Description,BatchValueName,DisplayName,StartMode,ServiceType,NameKeyLastWrite,ParametersKeyLastWrite,Group,ImagePath,ServiceDLL,RequiredPrivileges
Psched,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,"@%SystemRoot%\System32\drivers\pacer.sys,-101",None,"@%SystemRoot%\System32\drivers\pacer.sys,-101",System,KernelDriver,2013-08-22 14:45:54.2597145,2013-08-22 14:46:17.9784619,NDIS,\SystemRoot\system32\DRIVERS\pacer.sys,,
QWAVE,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,"@%SystemRoot%\system32\qwave.dll,-2",None,"@%SystemRoot%\system32\qwave.dll,-1",Manual,Win32ShareProcess,2013-08-22 15:37:10.2813158,2013-08-22 15:37:09.7969409,,%windir%\system32\svchost.exe -k LocalServiceAndNoImpersonation,,SeChangeNotifyPrivilege
QWAVEdrv,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,"@%SystemRoot%\system32\drivers\qwavedrv.sys,-2",None,"@%SystemRoot%\system32\drivers\qwavedrv.sys,-1",Manual,KernelDriver,2013-08-22 15:37:10.2813158,,,\SystemRoot\system32\drivers\qwavedrv.sys,,
RasAcd,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,Remote Access Auto Connection Driver,None,Remote Access Auto Connection Driver,Manual,KernelDriver,2013-08-22 15:37:09.8438170,2013-08-22 15:37:09.8438170,Streams Drivers,System32\DRIVERS\rasacd.sys,,
RasAuto,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,"@%Systemroot%\system32\rasauto.dll,-201",None,"@%Systemroot%\system32\rasauto.dll,-200",Manual,Win32ShareProcess,2013-08-22 15:37:10.2656908,2013-08-22 15:37:09.8125661,,%SystemRoot%\System32\svchost.exe -k netsvcs,,SeImpersonatePrivilege SeTcbPrivilege SeIncreaseQuotaPrivilege SeChangeNotifyPrivilege SeCreateGlobalPrivilege SeAssignPrimaryTokenPrivilege
RasMan,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,"@%Systemroot%\system32\rasmans.dll,-201",None,"@%Systemroot%\system32\rasmans.dll,-200",Manual,Win32ShareProcess,2014-03-18 10:18:07.5246177,2013-08-22 14:45:52.4159621,,%SystemRoot%\System32\svchost.exe -k netsvcs,,SeImpersonatePrivilege SeIncreaseQuotaPrivilege SeTcbPrivilege SeChangeNotifyPrivilege SeCreateGlobalPrivilege SeAssignPrimaryTokenPrivilege
RasPppoe,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,"@%systemroot%\system32\rascfg.dll,-32007",None,"@%systemroot%\system32\rascfg.dll,-32007",Manual,KernelDriver,2013-08-22 14:45:57.2441863,2013-08-22 14:45:57.2441863,,\SystemRoot\system32\DRIVERS\raspppoe.sys,,
rdbss,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,"@%systemroot%\system32\wkssvc.dll,-1001",None,"@%systemroot%\system32\wkssvc.dll,-1000",System,FileSystemDriver,2013-08-22 15:37:10.2813158,,Network,system32\DRIVERS\rdbss.sys,,
RDMANDK,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,,None,,Disabled,Adapter,2013-08-22 14:45:30.9159617,,,,,
rdpbus,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,,None,"@rdpbus.inf,%rdpbus_svcdesc%;Remote Desktop Device Redirector Bus Driver",Manual,KernelDriver,2016-06-21 11:40:41.5591900,,,\SystemRoot\System32\drivers\rdpbus.sys,,
RDPDR,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,"@%SystemRoot%\System32\DRIVERS\rdpdr.sys,-101",None,"@%SystemRoot%\System32\DRIVERS\rdpdr.sys,-100",Manual,KernelDriver,2014-03-18 09:43:20.2756512,,,System32\drivers\rdpdr.sys,,
RDPNP,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,"@%systemroot%\system32\drprov.dll,-101",None,"@%systemroot%\system32\drprov.dll,-100",Disabled,Adapter,2013-08-22 15:37:09.7813154,,,,,
RDPUDD,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,,None,,Disabled,Adapter,2014-03-18 09:43:20.2444007,,,,,
RdpVideoMiniport,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,,None,Remote Desktop Video Miniport Driver,Manual,KernelDriver,2014-03-18 09:43:20.2756512,,,System32\drivers\rdpvideominiport.sys,,
rdyboost,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,ReadyBoost,None,ReadyBoost,Boot,KernelDriver,2016-06-21 11:40:41.6996287,2016-06-21 01:42:19.5588735,PnP Filter,System32\drivers\rdyboost.sys,,
ReFS,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,,None,,Manual,FileSystemDriver,2013-08-22 15:37:10.2969410,,Boot File System,,,
RegFilter,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,,None,,Disabled,Adapter,2014-03-18 09:43:20.2444007,2014-03-18 09:43:20.2444007,,,,
