Name,BatchKeyPath,Description,BatchValueName,DisplayName,StartMode,ServiceType,NameKeyLastWrite,ParametersKeyLastWrite,Group,ImagePath,ServiceDLL,RequiredPrivileges
UxSms,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,"@%SystemRoot%\system32\dwm.exe,-2001",None,"@%SystemRoot%\system32\dwm.exe,-2000",Automatic,Win32ShareProcess,2008-01-19 11:37:29.8091430,2008-01-19 11:37:29.8091430,UIGroup,%SystemRoot%\System32\svchost.exe -k LocalSystemNetworkRestricted,,SeAssignPrimaryTokenPrivilege SeCreateGlobalPrivilege SeIncreaseQuotaPrivilege SeSecurityPrivilege SeTcbPrivilege
VBoxGuest,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,,None,VirtualBox Guest Driver,Boot,KernelDriver,2015-09-13 04:18:01.5937500,,Base,system32\DRIVERS\VBoxGuest.sys,,
VBoxMouse,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,,None,VirtualBox Guest Mouse Service,Manual,KernelDriver,2015-09-13 04:18:01.6093750,,,system32\DRIVERS\VBoxMouse.sys,,
VBoxService,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,"Manages VM runtime information, time synchronization, remote sysprep execution and miscellaneous utilities for guest operating systems.",None,VirtualBox Guest Additions Service,Automatic,Win32OwnProcess,2015-08-24 07:14:14.7656250,,Base,system32\VBoxService.exe,,
VBoxSF,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,,None,VirtualBox Shared Folders,System,FileSystemDriver,2015-09-13 04:18:01.5625000,,NetworkProvider,system32\drivers\VBoxSF.sys,,
VBoxVideo,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,,None,,Manual,KernelDriver,2015-09-13 04:18:01.5937500,,Video,system32\DRIVERS\VBoxVideo.sys,,
vds,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,"@%SystemRoot%\system32\vds.exe,-112",None,"@%SystemRoot%\system32\vds.exe,-100",Manual,Win32OwnProcess,2008-01-19 11:41:31.6418932,,,%SystemRoot%\System32\vds.exe,,
vga,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,,None,,Manual,KernelDriver,2015-08-24 07:01:33.6562500,,Video,system32\DRIVERS\vgapnp.sys,,
VgaSave,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,,None,,System,KernelDriver,2015-09-13 04:18:01.5625000,,Video Save,\SystemRoot\System32\drivers\vga.sys,,
viaagp,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,,None,VIA AGP Bus Filter,Manual,KernelDriver,2008-01-19 11:37:29.8091430,,PnP Filter,\SystemRoot\system32\drivers\viaagp.sys,,
ViaC7,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,,None,VIA C7 Processor Driver,Disabled,KernelDriver,2015-08-24 06:51:54.7656250,,Extended Base,\SystemRoot\system32\drivers\viac7.sys,,
viaide,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,,None,,Disabled,KernelDriver,2015-08-24 06:51:53.4062500,,System Bus Extender,\SystemRoot\system32\drivers\viaide.sys,,
vmbus,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,,None,VMBus,Disabled,KernelDriver,2015-08-24 06:51:54.6093750,,Extended Base,\SystemRoot\system32\drivers\vmbus.sys,,
volmgr,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,,None,Volume Manager Driver,Boot,KernelDriver,2015-09-13 04:18:01.5625000,,System Bus Extender,system32\drivers\volmgr.sys,,
volmgrx,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,"Extension of the volume manager driver that manages software RAID volumes (spanned, striped, mirrored, RAID-5) on dynamic disks",None,Dynamic Volume Manager,Boot,KernelDriver,2015-09-13 04:18:01.5625000,,System Bus Extender,System32\drivers\volmgrx.sys,,
volsnap,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,,None,Storage volumes,Boot,KernelDriver,2015-09-13 04:18:01.5625000,,,system32\drivers\volsnap.sys,,
vsmraid,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,,None,,Disabled,KernelDriver,2015-08-24 06:51:53.3750000,2008-01-19 11:37:29.8091430,SCSI Miniport,\SystemRoot\system32\drivers\vsmraid.sys,,
VSS,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,"@%systemroot%\system32\vssvc.exe,-101",None,"@%systemroot%\system32\vssvc.exe,-102",Manual,Win32OwnProcess,2008-01-19 11:37:29.8091430,,,%systemroot%\system32\vssvc.exe,,
W32Time,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,"@%SystemRoot%\system32\w32time.dll,-201",None,"@%SystemRoot%\system32\w32time.dll,-200",Automatic,Win32ShareProcess,2008-01-19 11:37:35.3627786,2008-01-19 11:37:35.3627786,,%SystemRoot%\system32\svchost.exe -k LocalService,,SeAuditPrivilege SeChangeNotifyPrivilege SeCreateGlobalPrivilege SeImpersonatePrivilege SeSystemTimePrivilege
W3SVC,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,,None,,Disabled,Adapter,2008-01-19 11:37:29.8091430,2015-08-23 21:25:50.9068750,,,,
WacomPen,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,,None,Wacom Serial Pen HID Driver,Disabled,KernelDriver,2015-08-24 06:51:54.5781250,,Extended Base,\SystemRoot\system32\drivers\wacompen.sys,,
Wanarp,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,"@%systemroot%\system32\rascfg.dll,-32011",None,"@%systemroot%\system32\rascfg.dll,-32011",Manual,KernelDriver,2008-01-19 11:40:22.4554497,,,system32\DRIVERS\wanarp.sys,,
Wanarpv6,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,"@%systemroot%\system32\rascfg.dll,-32012",None,"@%systemroot%\system32\rascfg.dll,-32012",System,KernelDriver,2015-09-13 04:18:01.5625000,,,system32\DRIVERS\wanarp.sys,,
WAS,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,"@%windir%\system32\inetsrv\iisres.dll,-30002",None,"@%windir%\system32\inetsrv\iisres.dll,-30001",Manual,Win32ShareProcess,2015-08-23 21:25:52.9537500,2015-08-23 21:25:50.9068750,,%windir%\system32\svchost.exe -k iissvcs,,SeAssignPrimaryTokenPrivilege SeAuditPrivilege SeBackupPrivilege SeChangeNotifyPrivilege SeCreateGlobalPrivilege SeDebugPrivilege SeImpersonatePrivilege SeIncreaseQuotaPrivilege SeRestorePrivilege SeTcbPrivilege
WcsPlugInService,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,"@%SystemRoot%\system32\WcsPlugInService.dll,-201",None,"@%SystemRoot%\system32\WcsPlugInService.dll,-200",Manual,Win32ShareProcess,2008-01-19 11:37:29.8091430,2008-01-19 11:37:29.8091430,,%SystemRoot%\system32\svchost.exe -k wcssvc,,SeChangeNotifyPrivilege
Wd,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,,None,Microsoft Watchdog Timer Driver,Disabled,KernelDriver,2015-08-24 06:51:55.0156250,,,\SystemRoot\system32\drivers\wd.sys,,
Wdf01000,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,,None,Kernel Mode Driver Frameworks service,Boot,KernelDriver,2015-09-13 04:18:01.5781250,,WdfLoadGroup,system32\drivers\Wdf01000.sys,,
WdiServiceHost,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,"@%systemroot%\system32\wdi.dll,-503",None,"@%systemroot%\system32\wdi.dll,-502",Manual,Win32ShareProcess,2008-01-19 11:37:45.4092430,2008-01-19 11:37:45.4092430,,%SystemRoot%\System32\svchost.exe -k wdisvc,,SeChangeNotifyPrivilege SeImpersonatePrivilege
