ApplicationName,ProgramId,FileKeyLastWriteTimestamp,SHA1,IsOsComponent,FullPath,Name,FileExtension,LinkDate,ProductName,Size,Version,ProductVersion,LongPathHash,BinaryType,IsPeFile,BinFileVersion,BinProductVersion,Usn,Language,Description
VMware Tools,0000e2ce9887c6c3734778b91e2495348be900000904,2020-09-19 01:32:13.8875366,8d70c1db078cf9b10daefa1d2d282d2b102dd93c,False,c:\program files\common files\vmware\drivers\rawdsk\win8\vmrawdsk.sys,vmrawdsk.sys,.sys,2019-07-16 07:03:33.0000000,vmware raw disk helper driver,65344,1.1.5.0,1.1.5.0 build-14169150,vmrawdsk.sys|33f10d7154d83214,pe64_amd64,True,1.1.5.0,1.1.5.0,5885360,1033,
VMware Tools,0000e2ce9887c6c3734778b91e2495348be900000904,2020-09-19 01:32:13.8875366,aacea26a6d13b823f692b61efdfe8d762bf14380,False,c:\program files\vmware\vmware tools\vmtoolsd.exe,vmtoolsd.exe,.exe,2020-03-30 22:13:19.0000000,vmware tools,99032,11.0.6.19689,11.0.6 build-15940789,vmtoolsd.exe|ab980160c33e8fa1,pe64_amd64,True,11.0.6.19689,11.0.6.19689,5946776,1033,
VMware Tools,0000e2ce9887c6c3734778b91e2495348be900000904,2020-09-19 01:32:13.8875366,5fcde184e508d87124c64f0513dd872ed487c4f0,False,c:\program files\vmware\vmware tools\vmtoolshookproc.exe,VMToolsHookProc.exe,.exe,2020-03-30 21:54:52.0000000,vmware tools,103984,11.0.6.19689,11.0.6 build-15940789,vmtoolshookproc.|31be466ea5a8634d,pe32_i386,True,11.0.6.19689,11.0.6.19689,5950880,1033,
VMware Tools,0000e2ce9887c6c3734778b91e2495348be900000904,2020-09-19 01:32:13.8875366,d9b4d166ce5365b51331ce428d47213a03cdfcb9,False,c:\program files\common files\vmware\drivers\mouse\win8\vmusbmouse.sys,vmusbmouse.sys,.sys,2019-07-16 06:56:07.0000000,vmware pointing usb device driver,35648,12.5.10.0,12.5.10.0 build-14169150,vmusbmouse.sys|b79386ce9d5a16af,pe64_amd64,True,12.5.10.0,12.5.10.0,5894760,1033,
VMware Tools,0000e2ce9887c6c3734778b91e2495348be900000904,2020-09-19 01:32:13.8875366,6d16878a5c0467e600e43e0af630e68ae8ea0b36,False,c:\program files\vmware\vmware tools\vmware vgauth\vmwarealiasimport.exe,VMwareAliasImport.exe,.exe,2020-03-30 22:16:27.0000000,vmware tools,36400,11.0.6.19689,11.0.6 build-15940789,vmwarealiasimpor|c480ef8e8e3bb805,pe64_amd64,True,11.0.6.19689,11.0.6.19689,5862400,1033,
VMware Tools,0000e2ce9887c6c3734778b91e2495348be900000904,2020-09-19 01:32:13.8875366,997aa4e86f985bb624e9ba575549d8becce651fb,False,c:\program files\vmware\vmware tools\vmwarehgfsclient.exe,VMwareHgfsClient.exe,.exe,2020-03-30 22:15:21.0000000,vmware tools,36912,11.0.6.19689,11.0.6 build-15940789,vmwarehgfsclient|5dbd0044ff365649,pe64_amd64,True,11.0.6.19689,11.0.6.19689,5889176,1033,
VMware Tools,0000e2ce9887c6c3734778b91e2495348be900000904,2020-09-19 01:32:13.8875366,ebeefe103d9fdfe9efc999af324e656fde91eea4,False,c:\program files\vmware\vmware tools\vmwarehostopen.exe,VMwareHostOpen.exe,.exe,2020-03-30 22:15:24.0000000,vmware tools,103128,11.0.6.19689,11.0.6 build-15940789,vmwarehostopen.e|6e1ac965be7cd7b,pe64_amd64,True,11.0.6.19689,11.0.6.19689,5951368,1033,
VMware Tools,0000e2ce9887c6c3734778b91e2495348be900000904,2020-09-19 01:32:13.8875366,5c129efccbe7c0d33a8f93ef42632a8daba6f337,False,c:\program files\vmware\vmware tools\vmwarenamespacecmd.exe,VMwareNamespaceCmd.exe,.exe,2020-03-30 22:16:29.0000000,vmware tools,38616,11.0.6.19689,11.0.6 build-15940789,vmwarenamespacec|192e9e96e007269e,pe64_amd64,True,11.0.6.19689,11.0.6.19689,5951904,1033,
VMware Tools,0000e2ce9887c6c3734778b91e2495348be900000904,2020-09-19 01:32:13.8875366,f0e3c13831f5a270403585b1d72b9fe95e7fd172,False,c:\program files\vmware\vmware tools\vmwareresolutionset.exe,VMwareResolutionSet.exe,.exe,2020-03-30 22:15:15.0000000,vmware tools,111152,11.0.6.19689,11.0.6 build-15940789,vmwareresolution|b989e8222044711a,pe64_amd64,True,11.0.6.19689,11.0.6.19689,5952456,1033,
VMware Tools,0000e2ce9887c6c3734778b91e2495348be900000904,2020-09-19 01:32:13.9033865,eb2dfab08ca683cb497e414c1c2c0fad0b692e00,False,c:\program files\vmware\vmware tools\vmwaretoolboxcmd.exe,VMwareToolboxCmd.exe,.exe,2020-03-30 22:16:05.0000000,vmware tools,87256,11.0.6.19689,11.0.6 build-15940789,vmwaretoolboxcmd|21b0f195ba44ba50,pe64_amd64,True,11.0.6.19689,11.0.6.19689,5952984,1033,
VMware Tools,0000e2ce9887c6c3734778b91e2495348be900000904,2020-09-19 01:32:13.9033865,6e532eb1d295f348e697712e06600c7830943427,False,c:\program files\vmware\vmware tools\vmwarexferlogs.exe,VMwareXferlogs.exe,.exe,2020-03-30 22:16:25.0000000,vmware tools,214744,11.0.6.19689,11.0.6 build-15940789,vmwarexferlogs.e|34c40321236337f,pe64_amd64,True,11.0.6.19689,11.0.6.19689,5953472,1033,
VMware Tools,0000e2ce9887c6c3734778b91e2495348be900000904,2020-09-19 01:32:13.9033865,2c9ee0aaa3790e42ba3e01cc7bd67361fcfee7ea,False,c:\program files\common files\vmware\drivers\vmxnet3\win8\vmxnet3.sys,vmxnet3.sys,.sys,2019-07-22 20:30:42.0000000,vmware pcie ethernet adapter ndis 6.30 (64-bit),111424,1.8.16.0,1.8.16.0 build-14217867,vmxnet3.sys|42884f8c7ca40988,pe64_amd64,True,1.8.16.0,1.8.16.0,5924272,1033,
VMware Tools,0000e2ce9887c6c3734778b91e2495348be900000904,2020-09-19 01:32:13.9033865,09fceacc264e8e847938f6784df0a26a031f9433,False,c:\program files\common files\vmware\drivers\vmci\sockets\win8\vsock.sys,vsock.sys,.sys,2019-07-16 05:04:39.0000000,vmware vsockets service,103224,9.8.16.0,9.8.16.0 build-14168184,vsock.sys|345876fa7c98a6f7,pe64_amd64,True,9.8.16.0,9.8.16.0,5903864,1033,
Microsoft Visual C++ 2015-2019 Redistributable (x64) - 14.20.27508,0000ef5c753af38a89bc2e5a8b2f982d5c510000ffff,2020-09-19 01:32:13.9033865,529114f5789552b773d2481bc058fc249c8986b9,False,c:\programdata\package cache\{7b178cda-9740-4701-a92a-f168d213b343}\vc_redist.x64.exe,VC_redist.x64.exe,.exe,2017-11-18 21:37:28.0000000,microsoft visual c++ 2015-2019 redistributable (x64) - 14.20.27508,654632,14.20.27508.1,14.20.27508.1,vc_redist.x64.ex|998885600e4d196d,pe32_i386,True,14.20.27508.1,14.20.27508.1,5723656,1033,
Microsoft.XboxSpeechToTextOverlay,0000f164e220b9effa7175b8a56922da40b000000904,2020-09-19 01:32:13.0287596,3d6098f645d0d7901894a5560a27cdc47500cb51,False,c:\program files\windowsapps\microsoft.xboxspeechtotextoverlay_1.17.29001.0_x64__8wekyb3d8bbwe\speechtotextoverlay64-retail.exe,SpeechToTextOverlay64-Retail.exe,.exe,2017-05-29 10:23:01.0000000,xbox.apps.speechtotextoverlay,563712,1.17.1705.29001,1.17.170529001,speechtotextover|3b5b4c7a44c0e43a,pe64_amd64,True,1.17.1705.29001,1.17.1705.29001,3456856,0,
Microsoft.HEIFImageExtension,0000f5a38db641839c0222f9a0ef1fcd3c2a00000904,2020-09-19 01:32:03.2614009,b0cde12ef49b1ec2a4125bc8c183ac5f447ea030,False,c:\program files\windowsapps\microsoft.heifimageextension_1.0.22742.0_x64__8wekyb3d8bbwe\codecpacks.heif.exe,codecpacks.heif.exe,.exe,2019-10-01 23:05:09.0000000,,241664,1.0.1910.01002,1.0.191001002,codecpacks.heif.|7deccdd3f8f964f1,pe64_amd64,True,1.0.1910.1002,1.0.1910.1002,1079008,0,
Microsoft.MSPaint,0000f961595cce957f97b9f73e4a1478d78100000904,2020-09-19 01:32:08.5344197,4473c8ea92e135e125979baaaff98d2d86610764,False,c:\program files\windowsapps\microsoft.mspaint_6.1907.29027.0_x64__8wekyb3d8bbwe\paintstudio.view.exe,PaintStudio.View.exe,.exe,2019-07-29 22:26:26.0000000,,3378176,,,paintstudio.view|fbc6b00d219feaa6,pe64_amd64,True,,,1525232,0,
Microsoft.WindowsSoundRecorder,0000fb4fc5ce1f2d953da1c84efc173e84c900000904,2020-09-19 01:32:11.8895420,4ae1f8fc49d225163138d1d1bb8f398dc01e6c6a,False,c:\program files\windowsapps\microsoft.windowssoundrecorder_10.1906.1972.0_x64__8wekyb3d8bbwe\soundrec.exe,SoundRec.exe,.exe,2019-07-16 23:08:56.0000000,microsoft soundrecorder,3367424,10.1906.1907.16002,10.1906.190716002,soundrec.exe|550b843ad22a69d7,pe64_amd64,True,10.1906.1907.16002,10.1906.1907.16002,3226560,0,
Microsoft.WebMediaExtensions,0000fe2e7c2607987cf839cf5510adda25aa00000904,2020-09-19 01:32:10.0642979,42f9905b5d417fb616edb0db2fad70afbf970f93,False,c:\program files\windowsapps\microsoft.webmediaextensions_1.0.20875.0_x64__8wekyb3d8bbwe\microsoft.webmediaextensions.exe,Microsoft.WebMediaExtensions.exe,.exe,2019-03-28 22:08:20.0000000,,249344,1.0.1903.28005,1.0.190328005,microsoft.webmed|85d02c1e0cffb4d6,pe64_amd64,True,1.0.1903.28005,1.0.1903.28005,2132480,0,
