KeyName,KeyLastWriteTimestamp,BusReportedDescription,Class,ClassGuid,Compid,ContainerId,Description,DriverId,DriverPackageStrongName,DriverName,DriverVerDate,DriverVerVersion,Enumerator,HWID,Inf,InstallState,Manufacturer,MatchingId,Model,ParentId,ProblemCode,Provider,Service,Stackid
acpi/pnp0a05/1c,2020-09-19 01:31:23.1198564,,system,{4d36e97d-e325-11ce-bfc1-08002be10318},,{27db0821-3bf9-f71a-f96f-a53403857690},Generic Bus,,machine.inf_amd64_8d242da33ece4bf6,,06-21-2006,10.0.19041.1,acpi,"acpi\ven_pnp&dev_0a05,acpi\pnp0a05,*pnp0a05",machine.inf,0,(Standard system devices),*pnp0a05,Generic Bus,acpi\pnp0a05\10,0,Microsoft,,\driver\acpi
acpi/pnp0a05/1d,2020-09-19 01:31:23.1198564,,system,{4d36e97d-e325-11ce-bfc1-08002be10318},,{27db0821-3bf9-f71a-f96f-a53403857690},Generic Bus,,machine.inf_amd64_8d242da33ece4bf6,,06-21-2006,10.0.19041.1,acpi,"acpi\ven_pnp&dev_0a05,acpi\pnp0a05,*pnp0a05",machine.inf,0,(Standard system devices),*pnp0a05,Generic Bus,acpi\pnp0a05\10,0,Microsoft,,\driver\acpi
acpi/pnp0a05/1e,2020-09-19 01:31:23.1198564,,system,{4d36e97d-e325-11ce-bfc1-08002be10318},,{27db0821-3bf9-f71a-f96f-a53403857690},Generic Bus,,machine.inf_amd64_8d242da33ece4bf6,,06-21-2006,10.0.19041.1,acpi,"acpi\ven_pnp&dev_0a05,acpi\pnp0a05,*pnp0a05",machine.inf,0,(Standard system devices),*pnp0a05,Generic Bus,acpi\pnp0a05\10,0,Microsoft,,\driver\acpi
acpi/pnp0a05/1f,2020-09-19 01:31:23.1198564,,system,{4d36e97d-e325-11ce-bfc1-08002be10318},,{27db0821-3bf9-f71a-f96f-a53403857690},Generic Bus,,machine.inf_amd64_8d242da33ece4bf6,,06-21-2006,10.0.19041.1,acpi,"acpi\ven_pnp&dev_0a05,acpi\pnp0a05,*pnp0a05",machine.inf,0,(Standard system devices),*pnp0a05,Generic Bus,acpi\pnp0a05\10,0,Microsoft,,\driver\acpi
acpi/pnp0a05/20,2020-09-19 01:31:23.1198564,,system,{4d36e97d-e325-11ce-bfc1-08002be10318},,{27db0821-3bf9-f71a-f96f-a53403857690},Generic Bus,,machine.inf_amd64_8d242da33ece4bf6,,06-21-2006,10.0.19041.1,acpi,"acpi\ven_pnp&dev_0a05,acpi\pnp0a05,*pnp0a05",machine.inf,0,(Standard system devices),*pnp0a05,Generic Bus,acpi\pnp0a05\11,0,Microsoft,,\driver\acpi
acpi/pnp0a05/21,2020-09-19 01:31:23.1198564,,system,{4d36e97d-e325-11ce-bfc1-08002be10318},,{27db0821-3bf9-f71a-f96f-a53403857690},Generic Bus,,machine.inf_amd64_8d242da33ece4bf6,,06-21-2006,10.0.19041.1,acpi,"acpi\ven_pnp&dev_0a05,acpi\pnp0a05,*pnp0a05",machine.inf,0,(Standard system devices),*pnp0a05,Generic Bus,acpi\pnp0a05\11,0,Microsoft,,\driver\acpi
acpi/pnp0a05/22,2020-09-19 01:31:23.1198564,,system,{4d36e97d-e325-11ce-bfc1-08002be10318},,{27db0821-3bf9-f71a-f96f-a53403857690},Generic Bus,,machine.inf_amd64_8d242da33ece4bf6,,06-21-2006,10.0.19041.1,acpi,"acpi\ven_pnp&dev_0a05,acpi\pnp0a05,*pnp0a05",machine.inf,0,(Standard system devices),*pnp0a05,Generic Bus,acpi\pnp0a05\11,0,Microsoft,,\driver\acpi
acpi/pnp0a05/23,2020-09-19 01:31:23.1198564,,system,{4d36e97d-e325-11ce-bfc1-08002be10318},,{27db0821-3bf9-f71a-f96f-a53403857690},Generic Bus,,machine.inf_amd64_8d242da33ece4bf6,,06-21-2006,10.0.19041.1,acpi,"acpi\ven_pnp&dev_0a05,acpi\pnp0a05,*pnp0a05",machine.inf,0,(Standard system devices),*pnp0a05,Generic Bus,acpi\pnp0a05\11,0,Microsoft,,\driver\acpi
acpi/pnp0a05/24,2020-09-19 01:31:23.1198564,,system,{4d36e97d-e325-11ce-bfc1-08002be10318},,{27db0821-3bf9-f71a-f96f-a53403857690},Generic Bus,,machine.inf_amd64_8d242da33ece4bf6,,06-21-2006,10.0.19041.1,acpi,"acpi\ven_pnp&dev_0a05,acpi\pnp0a05,*pnp0a05",machine.inf,0,(Standard system devices),*pnp0a05,Generic Bus,acpi\pnp0a05\11,0,Microsoft,,\driver\acpi
acpi/pnp0a05/25,2020-09-19 01:31:23.1198564,,system,{4d36e97d-e325-11ce-bfc1-08002be10318},,{27db0821-3bf9-f71a-f96f-a53403857690},Generic Bus,,machine.inf_amd64_8d242da33ece4bf6,,06-21-2006,10.0.19041.1,acpi,"acpi\ven_pnp&dev_0a05,acpi\pnp0a05,*pnp0a05",machine.inf,0,(Standard system devices),*pnp0a05,Generic Bus,acpi\pnp0a05\11,0,Microsoft,,\driver\acpi
