ControlSet,CacheEntryPosition,Path,LastModifiedTimeUTC,Executed,Duplicate,SourceFile
1,26,SYSVOL\Windows\System32\userinit.exe,2013-08-22 10:03:12,Yes,False,M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\Windows\System32\config\SYSTEM
1,27,SYSVOL\Windows\System32\taskhostex.exe,2014-03-18 10:05:00,Yes,False,M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\Windows\System32\config\SYSTEM
1,28,SYSVOL\Windows\System32\SppExtComObj.Exe,2013-08-22 10:51:10,Yes,False,M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\Windows\System32\config\SYSTEM
1,29,SYSVOL\Program Files\Windows Defender\MsMpEng.exe,2013-08-22 12:32:00,Yes,False,M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\Windows\System32\config\SYSTEM
1,30,SYSVOL\Windows\System32\spoolsv.exe,2013-08-22 09:10:12,Yes,False,M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\Windows\System32\config\SYSTEM
1,31,SYSVOL\Windows\System32\dwm.exe,2014-03-18 10:05:24,Yes,False,M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\Windows\System32\config\SYSTEM
1,32,SYSVOL\Windows\System32\lsass.exe,2013-08-22 13:25:35,Yes,False,M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\Windows\System32\config\SYSTEM
1,33,SYSVOL\Windows\System32\services.exe,2013-08-22 13:25:40,Yes,False,M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\Windows\System32\config\SYSTEM
1,34,SYSVOL\Windows\System32\net1.exe,2013-08-22 10:01:15,Yes,False,M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\Windows\System32\config\SYSTEM
1,35,SYSVOL\Windows\System32\net.exe,2013-08-22 10:01:50,Yes,False,M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\Windows\System32\config\SYSTEM
1,36,SYSVOL\Windows\System32\Magnify.exe,2015-12-11 19:18:54,Yes,False,M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\Windows\System32\config\SYSTEM
1,37,SYSVOL\Windows\System32\Utilman.exe,2014-03-18 10:05:09,Yes,False,M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\Windows\System32\config\SYSTEM
1,38,SYSVOL\Windows\System32\SettingSyncHost.exe,2014-03-18 10:05:14,Yes,False,M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\Windows\System32\config\SYSTEM
1,39,SYSVOL\Windows\System32\wscui.cpl,2014-03-18 10:05:00,No,False,M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\Windows\System32\config\SYSTEM
1,40,SYSVOL\Windows\SysWOW64\FlashPlayerCPLApp.cpl,2013-08-15 22:09:51,No,False,M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\Windows\System32\config\SYSTEM
1,41,SYSVOL\Windows\SysWOW64\dllhost.exe,2013-08-22 05:21:45,Yes,False,M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\Windows\System32\config\SYSTEM
1,42,SYSVOL\Program Files\Internet Explorer\iexplore.exe,2014-03-18 10:14:20,No,False,M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\Windows\System32\config\SYSTEM
1,43,SYSVOL\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,2013-08-22 10:59:47,No,False,M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\Windows\System32\config\SYSTEM
1,44,SYSVOL\Windows\System32\migwiz\migwiz.exe,2014-03-18 10:05:01,No,False,M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\Windows\System32\config\SYSTEM
1,45,SYSVOL\Windows\System32\Taskmgr.exe,2014-03-18 10:05:04,No,False,M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\Windows\System32\config\SYSTEM
1,46,SYSVOL\Windows\System32\control.exe,2013-08-22 11:03:56,No,False,M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\Windows\System32\config\SYSTEM
1,47,SYSVOL\Program Files\Windows Journal\Journal.exe,2014-03-18 09:43:13,No,False,M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\Windows\System32\config\SYSTEM
1,48,SYSVOL\Windows\System32\charmap.exe,2013-08-22 11:16:34,No,False,M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\Windows\System32\config\SYSTEM
1,49,SYSVOL\Windows\System32\xpsrchvw.exe,2013-08-22 10:19:03,No,False,M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\Windows\System32\config\SYSTEM
1,50,SYSVOL\Program Files\Windows NT\Accessories\wordpad.exe,2013-08-22 10:21:30,No,False,M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\Windows\System32\config\SYSTEM
1,51,SYSVOL\Program Files (x86)\Windows Media Player\wmplayer.exe,2013-08-22 03:48:35,No,False,M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\Windows\System32\config\SYSTEM
1,52,SYSVOL\Windows\System32\WFS.exe,2013-08-22 10:13:52,No,False,M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\Windows\System32\config\SYSTEM
1,53,SYSVOL\Windows\System32\StikyNot.exe,2014-03-18 09:43:07,No,False,M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\Windows\System32\config\SYSTEM
1,54,SYSVOL\Windows\System32\psr.exe,2013-08-22 10:51:09,No,False,M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\Windows\System32\config\SYSTEM
1,55,SYSVOL\Windows\System32\SoundRecorder.exe,2013-08-22 10:44:16,No,False,M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\Windows\System32\config\SYSTEM
1,56,SYSVOL\Windows\System32\SnippingTool.exe,2014-03-18 09:43:05,No,False,M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\Windows\System32\config\SYSTEM
