CacheEntryPosition,BatchKeyPath,ProgramName,BatchValueName,ModifiedTime
36,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\Magnify.exe,AppCompatCache,2015-12-11 19:18:54.2301832
37,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\Utilman.exe,AppCompatCache,2014-03-18 10:05:09.8528524
38,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\SettingSyncHost.exe,AppCompatCache,2014-03-18 10:05:14.2434771
39,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\wscui.cpl,AppCompatCache,2014-03-18 10:05:00.2903529
40,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\SysWOW64\FlashPlayerCPLApp.cpl,AppCompatCache,2013-08-15 22:09:51.9241398
41,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\SysWOW64\dllhost.exe,AppCompatCache,2013-08-22 05:21:45.4875089
42,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Program Files\Internet Explorer\iexplore.exe,AppCompatCache,2014-03-18 10:14:20.4696441
43,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,AppCompatCache,2013-08-22 10:59:47.5740159
44,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\migwiz\migwiz.exe,AppCompatCache,2014-03-18 10:05:01.4622268
45,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\Taskmgr.exe,AppCompatCache,2014-03-18 10:05:04.9622275
46,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\control.exe,AppCompatCache,2013-08-22 11:03:56.5186362
47,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Program Files\Windows Journal\Journal.exe,AppCompatCache,2014-03-18 09:43:13.2569277
